,id,date,title,content
14,ia*****,2019.08.02,정기권 구입,365일 정기권을 구입해 18시 14분경에 개시했다면.이용가능 시점 리셋은 언제부터인가요?18시 14분 이후에 타야 하나요?? 만약 그렇다몬 리셋 기준일을 자정으로 바꿔주세요. 하루 기준으로 따져야지. 일 중간 기준으로 바꾸면 너무 이상합니다
15,gi******,2019.08.02,"신입 인사드림다, 안전모 궁금",안전모는 개인이 구입하여 가지고 다녀야 하나요?
16,hy*******,2019.08.02,앱 네트워크오류,앱을 다시 깔고 깔아도 로그인하면네트워크연결 오류입니다. 다시 연결하시겠습니까? 가계속 떠요!!!!!!!!!!!! 아무것도 안되고빨리 처리해주세요
17,to*****,2019.08.02,따릉이 새치기?,어제 퇴근시간 국회의사당역 인근 대여소에자전거 한대가 들어오기에 바로대여신청중다른분이 새치기? 자신이 신청했다며 비밀번호 누르고 가져가시더라구요.너무도 화가나는데 아들 생각해서 나는 아버지니까참자...하고 귀가하였습니다.오늘 출근해서도 머리속에서 지워지지 않는불쾌감에 검색창에 검색해보니 다른분들도이런 경우들이 있던데요.비워있는 대기소에 미리 대기신청이 가능한지답변 부탁드리며 가능하다면 이런일로 이용자들이오해나 다툼으로 번질 우려도 있는데 공지라도해줘야 하지 않겠습니까?
18,ac****,2019.08.02,따릉이 앱이 안됩니다,2019년8월2일자로 아이폰 어플 업데이트를 했습니다 아이폰 ios는9.3이고요그런데 업데이트 하고 앱을 들어가면 네트워크연결 오류입니다. 다시 연결하시겠습니까? 가 무한반복됩니다오류수정해주세요
19,aj******,2019.08.02,전농 동아아파트 대여소,어제는 장애가 있어서 대여소 자체를 닫아놨더니 오늘은 대여하려보니 분명 자전거 몇대가 있는데 대여할수 있는 자전거가 0대로 되어있길래 직접 켜봤더니 통신장애가있다고 또 안되네요 하..빨리 제대로좀 고쳐주세요
20,on****,2019.08.02,위치 변경 건의,"안녕하세요? 따릉이를 최근에 이용하기 시작한 시민입니다.3527. 왕십리 자이아파트 와 434. 신당 레미안 버스정류장이렇게 두 군데가 집에서 가장 가까운 대여소라 자주 이용을 합니다만,대여소가 꽤나 언덕이 심한 곳에 위치하고 있어서 타고 내려갈 때도 위험천만이고타고 올라오기는 아예 포기하게 되는 위치입니다. 그래서 그런지 아파트 밀집지역임에도 저녁 때도 자전거가 채워지지 않습니다.그 중,434. 신당 레미안 버스정류장은 버스정류장 인근이라 현재로서도 괜찮은 것 같지만길 건너 3527. 왕십리 자이아파트 대여소는 언덕 아래쪽 하나.유보라 아파트로이전하면 어떨까 합니다. 최근 2019. 6월에 하나.유보라 아파트와 신당KCC아파트가 완공되었으니참고하여 주십시오.아무쪼록 많은 시민들이 공유경제 함께 할 수 있도록도와주셔서 감사합니다."
21,ru******,2019.08.02,로그인 문제,로그인 할때 '로그인 상테 유지' 로 로그인 한 번 하고 난 후 부터다시 따릉이 웹에 들어올때 마다 오류 발생서비스중 오류가 발생했습니다. 잠시 후 다시 이용해 주시기 바랍니다.라고 오류가 나옵니다로그인도 안되고 로그아웃도 안되어서 쓸수 있는 방법이 없습니다잘쓰고 있었는데 보안키보드 적용되고 나서부터 이런 문제가 있습니다정상적인 사용이 안되고 있으니빠른 수정 부탁드립니다!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
22,pl****,2019.08.02,잠실새내역반납이안됩니다,아침에대여햇ㅅ는데 자물쇠가안빠져서대여도안되고반납도안됩니다 바빠서처리도못하고그냥가는데반납처리해주시기바랍니다
23,ko********,2019.08.02,숭실대입구역따릉이 언제부터 사용가능한가요?,숭실대 입구역따릉이 언제부터 사용가능한가요?
24,id******,2019.08.02,1843.독산고등학교 대여가능댓수 오류,1843.독산고등학교 대여가능댓수 오류앱에는 대여가능댓수 1이라는데 고장자전거가 연결거치되어 막고있어서대여불가이런경우는 대여가능이라고 표기하지 않아야 되는거 아닌가요?헛걸음했네요그리고 답변은 골라하나요? 최근 제 글엔 답변이 하나디없네요이글에도 답변이없을런지...답븬받으려면 여기 글남기면안되고 전화도 해야하나요?
25,kh*****,2019.08.02,따릉이 미반납 처리좀 해주세요!,"따릉이 반납하고 미반납이라고 뜨길래 잠금장치 풀어보려고 해도 안 풀리고 운영센터 신고 처리도 하였습니다. 어제 밤부터 이 새벽까지 30분  간격으로 계속 카톡 오는데 아침에 연락을 주든지 아님 카톡좀 그만오게 조속한 처리 바랍니다.요즘 타다가 체인이 빠지질 않나, 고장난 따릉이도 많고 운영방식에 문제가 있는거 같네요. 조속한 처리 바랍니다.아, 어제 밤에 오류 현상으로 인해 재대여도 하지 못하고 택시타고 돌아왔네요. 자전거 엄청 많은데 다시대여도 안되고 불편사항 참고하여 운영방식 개선바랍니다."
26,dh******,2019.08.02,반납이 안 돼요,자전거 번호 10146 뺄 때도 엄청 안 빠져서 애먹으면서 뺐구요 반납 처리도 안 돼서 아까 549.아차산역 3번출구 5번에 세워뒀습니다. 자꾸 연결이 안 돼서 센터에 문의하라는 안내말만 나오고 제발 처리 좀 해주세요 한 두 번도 아니고 너무 대여가 힘드네요... 한 시간 다 타지도 않았습니다 저 같은 사람이 너무 많은 것 같은데 대책마련 좀 해주세요ㅠㅠ
27,se*******,2019.08.02,따릉이 반납하였는데 ,반납처리가 안되었습니다 8/2 새벽 1:30~40 에 우장산역 1번출구 1번자리에 15624 자전거를 반납할려고 자물쇠(?)를 채웠는데 반납이 안되었습니다 반납만료시간 2~30분 전 이었는데 추가요금 부가하게 생겼습니다.사진도 있고 증거자료 있습니다 빠른처리 부탁드립니다
28,gk******,2019.08.02,연결거치 오류,증산역131에서 대여를 하여 상암 월드컵경기장 418장소에다연걸거치를 하였습니다.그런데 sns으로도 반납완료라는 글도 안오고네트워크 아무것도안왔습니다.다른 네이버등 블로그들보니깐 이런현상이 많다고하네요.추가요금 강제로 내게됬는데얼른 해결 부탁드립니다.자전거 앞에서 20분동안 문제해결할려다가 해결도못했습니다.
29,mj*****,2019.08.01,대여소 설치 부탁드려요,구로1동 중앙하이츠 근처에  대여소가 필요한데요증설요청 드립니다역까지 걸어가기가 힘드네요부탁드려요
30,cw*****,2019.08.01,안드로이드 앱 자동로그인 오류,안녕하세요.안드로이드 앱에서 카카오로그인으로 인증을 사용하고 있습니다.그런데 자동로그인을 설정했음에도 매번 이메일과 비밀번호를 입력해아만 로그인이 됩니다.앱 사용에 있어 불편함이 있어 개선을 요청코자 합니다.
31,id******,2019.08.01,2019년 상반기에 전기자전거 따릉이 도입한다는 기사를 봤는데요...,2019년 상반기에 전기자전거 따릉이 도입한다는 기사를 봤는데요...상반기 지났는데도 아직 별 소식이 없어서 궁금해서 글 남깁니다.2019년 상반기에 전기자전거 따릉이 도입한다는 기사가 나온지는 한참 됐는데 어찌 진행되고 있는지 궁금합니다...
32,sy*****,2019.08.01,난곡사거리 자전거가 넘치도록 있는데 대여가능 대수가 없다고해요,결국 대여 못했슺니다 어플 오류인갓같은데 왜이러는거죠
33,si******,2019.08.01,어이가없네요,티머니 카드 문의가 상당히 많고 수정요청도 많이 들어오는데 문구조차 따로 올라오지않고 일은 제대로 하고는 있나요 ㅋㅋ 저도 티머니로 결제되는줄알고 계속 헤매다 유선상으로 직접 전화해보고 결제수단이 아니란걸 알았네요 그리고 핸드폰과 카드 멍의자가 다르면 미성년자들은 어떻게 쓰라는거죠?? 좀 생각하고 앱을 만들었음 좋겠네요 빨리 고쳐주세요 빡치니께
34,92*******,2019.08.01,"잠원동 사평리공원 앞(한강공원 입구, 던킨도너치 잠원점)에 신규 거치대 설치 요망","안녕하세요. 잠원동 사평리공원 앞(던킨도너치 잠원점 앞)에 따릉이 거치대 요청합니다. 1. 이곳은 한강시민공원 입구(굴다리) 앞입니다.       변전소 옆(2262, 잠원한신아파트 앞)입구가 생기 전 잠원동 유일의 한강공원 입구였습니다. 변전소옆 입구 못지않게 유동인구가 많은데, 거치대가 없습니다. 2. 변전소 옆 거치대의 수요를 분산시키는 효과변전소 옆 거치대(2262)는 이용객이 많아서 따릉이를 신청하기도, 반납하기도 불편합니다. 이 이유는 변전소 옆 거치대(2262)가  한강공원 입구의 지근인 점과 버스로의 환승이 용이하기 때문일 겁니다. 3.버스로/ 택시로의 환승이 용이합니다. 잠원동 사평리 공원 앞에는 버스정류소와 택시정류소가 있습니다. 편의점(간선도로를 건너지 않고 이용할 수 있습니다)도 있습니다. 여러모로 변전소 옆 거치대보다 이용객의 이용을 용의하게 하는 요소가 많습니다.4. 불법주차 예방차원 던킨도너츠 잠원점 앞에서 사평리공원 앞 보도는 폭이 상당히 넓습니다. 해서 인도를 넘어 오는 불법주차가 상당히 많습니다. 불법주차 차량을 막는 차원에서도 따릉이 거치대를 설치 해주셨으면 좋겠습니다. (다른말로 따릉이 거치대 설치에 필요한 용지가 확보됌을 의미합니다)"
35,kb*****,2019.08.01,역삼역 추가 배치 요청,오후 역삼역 대여소에는 자전거가 항상 없어요역삼역 인근 대여소도 1개 밖에 없고 자전거 및 대여소 역삼역 추가 설치 요청드립니다
36,rh****,2019.08.01,자전거 반납처리,14610창동역2버출구 연결 반닙후 통신장애로 반납처리 안됨  전화하니 4분대기라함17851 자전거에 연결반납함반납처리 부탁드립니다
37,ha**********,2019.08.01,"목동역,신정역",양천구민 최대이용지 목동역 신정역에 대여소가 단 한군데도 없다는게 말이됩니까!!!!!꼭 좀 부탁드립니다....
38,ks****,2019.08.01,830 청암자이아파트앞 자전거 추가 배치요망,830 청암자이아파트앞 자전거 비치댓수를 두배로 늘여주세요.  매일 아침 자전거가 없는 날이 많습니다.확인하시고 조속히 시정되도록 당부드립니다.
39,sa*******,2019.08.01,응암역 4번출구는 언제?,2019년 신규대여소설치 목록에 응암역 4번출구가 있던데 언제쯤 설치되나요? 벌써 8월인데..응암역 2번출구라인 이용자가 많은데 역촌역.이마트쪽으로만  몰려있고  cj드림시티 대여소는 밤되면 사람 다니기도 힘들정도로  만차입니다.  신규대여소예정인 응암역4번출구로라도  분산되게  빠른설치 부탁드립니다~^-^
40,co******,2019.08.01,고장신고 개선요망,"자전거가 고장나서 대여를 못했습니다.그래서 고장신고를 하려했지만 자전거 번호를 알아야만하네요.번호를 몰라도 대여소의 몇번의.자전거 인지를 선택해서 고장신고하면 훨씬 유용할것이고, 보다 편리하게 이용할수 있을 것입니다.고장신고 두 건입니다.여의도 1번 출구에 4번에 있는 자전거가 단말기.이상(화면 보이지않음)으로 대여가  안됩니다.같은 대여소 7번 체인 빠짐으로 탈 수 없습니다.8:45~55 사이입니다."
41,ap**********,2019.08.01,연결오류가떠서 자전거반납이 안됐어요,제가 따릉이 자전거를 이용한다음에반납하는곳에 반납을했는데 제대로 반납이 됐다고확인문자가 오지않길레 몇번 더시도했는데 롹이 풀리지않게 되버렸고  롹을풀려고 대여소 비밀번호를 치려고해도연결오류라고 떠서 롹을 풀지도못하구 반납도안되서계속 반납안된상태로 이용시간초과만 계속뜨네요너무늦은새벽에다 비도와서 1시간동안 끙끙대면서잡아당겨도보고 비밀번호도 치려고 계속 따릉이 전원버튼을 눌렀음에도 연결오류만떠서 결국 반납못하고 집에돌아왔습니다 내일아침에 상담전화를 드릴꺼지만 불안한마음에문의올립니다 이럴경우 제가 과태료를 물어야하나요??참고로 자전거는 비회원으로 하나 회원으로로그인된상태로 하나 해서 총2대 빌렸었고정확히 1155.기쁜우리복지관에 반납했습니다 두대모두빠른문의 부탁드립니다
42,pa*******,2019.08.01,빛 좋은 개살구 환승 마일리지 개선 요청,정기권이 있어야 환승 마일리지를 사용할 수 있다구요?정기권이 있는데 굳이 마일리지를 써서 자전거를 탈까요?당장 정기권이 없어도 마일리지를 사용할 수 있게 정책을 바꾸세요.정상적인 사람이라면 정기권이 없을때 마일리지를 사용할 수 있겠구나 하고 생각하지 않을까요?마일리지 때문에 귀찮게 카드 등록하게 하지 말고 없애는것도 한가지 방법입니다.이런 말도 안되는 정책을 만든 사람과 승인한 사람이 누구인지 공개하고 징계하세요.뭔가 조치가 있어야 이런 결과가 반복되지 않습니다.
43,zl******,2019.07.31,개쓰레기 어플 걍 업데이트를 하지마,"어떤 멍청한 새끼가 큐알코드 인식기능에서 플래시 버튼 없애버렸냐?진짜 대가리에 머가 들었는지 함 열어보고 싶다2년이 넘도록 오류는 계속 되고 그렇다고 따릉이가 공짜도 아니고 돈 받을 건 받으면서 생색은 존나게 내고ㅡㅡ 그럴 거면 어플도 제대로 만들어야 되는 거 아니냐???? 어플 이따구로 만들어놨으니 내가 따릉이 어플 개발자라고 어디 가서 자랑도 못하지?    욕 존나 처먹을 거 본인도 알 거 아냐어케 2년이 넘게 단 한 차례도 멀쩡한 적이 없냐오류에 오류에 오류에 오류, 국민세금으로 만든 어플이 씨발 이따위면 어떡하자는 거냐???? 국민세금이 이따위로밖에 되지 않는 아이 서울 유 씨발"
44,re*****,2019.07.31,답변,다른 글들은다 답변완료인데 왜 제껀 아직 보류인건가요?답변해주세요정기권사서 몇번사용도못하구만료되었어요이렇게 이익을 남기시는건가요?
45,so*******,2019.07.31,후불제였으면 좋겠습니다.,"매번 사용할때마다 번거롭게 일일권을 구매하여 사용하고 있는데, 미리 신용카드를 등록해두고 편하게 사용후 쓴시간만큼 신용카드에서 자동으로 결제되는 후불제면 더욱 편리할듯합니다."
46,le********,2019.07.31,물방울이 안떠요,3일전부터 지도보기에서 물방울이 안떠요어플 지웠다 다시깔기 반복했는데도 안뜨네요해결방법좀 알려주세요
47,bh******,2019.07.31,반납했는데 미반납이라고 문자왔네요,<따릉이> 자전거(SPB-10401) 대여완료. 대여소:735. 영도초등학교 에서 6시경대여 했고오목교역 3번출구에 반납했어요. 6시10분 경에  반납했는데 음성도 나왔는데 미반납이라고 문자들어왔네요
48,di*********,2019.07.31,반납햇다고 나왓는데 반납문자가 안옵니다,새벽3시20분 전에 반납햇다고 자전거에서 떳는데 문자가 안오네요.. 추가요금은 나오고 있습니다.처리 부탁드릴게요ㅠ 추가요금 좀 돌려주세요ㅠSPB-18887입니다ㅠ
49,qu*******,2019.07.31,반납을 했는데 반납처리가 안됩니다,Sb-16871 입니다
50,ch**********,2019.07.30,반납됐다고 소리났는데 미반납 문자 왔네요~,"583.청계천 생태교실 앞에서 대여해서 21시 27분경에 반납했고, 반납 소리까지 확인했습니다. 집에 왔는데 미반납했다고 문자가 와서 다시 1시간 거리 가는 중이네요 추가요금은 요금대로 나오고 ㅎㅎ 앞으로 재이용은 없겠지만 제발 오류 좀 개선해주세요 정말 불편해요 꼭 본사나 담당 부서로 오류 전달 부탁드립니다 ^^"
51,jo*********,2019.07.30,반납 했는데 미 반납 메시지가 왔어요,석촌역에서 빌려서송파역으로 연결 반납 확인하고 나왔는데 미 반납 메시지가 왔습니다처리 부탁 드립니다번호:24779
52,po*******,2019.07.30,항상 감사한 마음으로 이용 중인 자에요~,이렇게 좋은 써비스를 제공해주신 서울시에 우선 감사의 말씀 전합니다~!(진심) 건의 사항 1) 보관소를 더 많이 늘려주세요~2) 고장난 자전거를 고쳐주세요~3) 반납 안됐다고 ㅠ 자주 접촉불량인지 제 부주의도 있겠죠^^;; 그런 부분을 자동으로 잠금/해제 처리 될 수 있도록 시스템 개선 부탁드립니다마지막으로.....건의하고 싶은 부분은 이 사업을 민영화해서 정말 일자리가 필요하신분들에게 일자리를 만들어주세요~이상 감사합니다
53,sh******,2019.07.30,도난 자전거 발견 신고시 적절한 보상해주면 좋을듯요. ,"오늘도 역시 아내와 아라뱃길과 여의도방면으로 즐기면서 운동했습니다.여의도에서 재대여하던 중 계속 널브러져 있는 따릉이가 있어  혹시하고 안내소와 통화해보니 도난 자전거 3대였습니다.이런 저런 정리와 연결잠금으로 가지런히 세운 후 사진찍어 전송하고 집에 와서 보니 집 앞에 또 따른이 자전거 1대가 있었고, 계속 방치되었기에 차대번호 확인해보니 역시 도난 자전거라는 말에 또 사진찍어 전송했습니다.도난 자전거 발견 후 그냥 전화만 하고 휘리릭 가는 것이 아니고 이런저런 정리와 도움을 주면서 계속 통화와 사진 전송작업이 필요합니다.신고자에게 큰 보상은 아니더라도 최소한의 성의 정도는 표시하는 것이 도난자전거 회수에 큰 도움이 될 것 같아 한 마디 올려봅니다.정기권이든 일일권이든 할인쿠폰을 제공하는 것도 좋은 방법일듯요.(개인 생각입니다)"
54,ba********,2019.07.30,잠금장치 절단,잠금장치 결속된 자전거 운행은 절도 현행범오늘 따릉이 대여소에 가 보니 자전거에 와이어가 절단된 잠금장치가 결합되어 있었습니다. 와이어 절단해서 부정 이용하고 나서 두고 간 것으로 보입니다.잠금장치가 결합된 체 운행하는 자전거는 절도 현행범으로 간주해야 합니다.이러한 사실을 따릉이 회원 가입할 때 주지시키고 일반에게도 홍보해야합니다.그리고 잠금장치의 색을 멀리서 봐도 분명히 알 수 있도록 눈에 띄는 색으로 변경하여야 합니다. 이렇게 해서 누구나 보고 신고할 수 있게 하여야 합니다.따릉이를 이용하여 서울 시민인 것이 자랑스러울 정도로 잘 이용하고 있습니다. 이렇게 좋은 따릉이가 망가지지 않고 잘 유지 발전하기를 바라며 말씀 드렸습니다.
55,ca********,2019.07.30,프로그램 업댓 수정해주세요!,그늘진 곳이나 밤에 QR코드 찍으려고 하면 플레쉬기능이 없어져서 어두워서 인식을 못해요. 플레쉬기능 다시 살려주세요.
56,55*****,2019.07.30,의자높이   긴 시간타보셨나요,한번 타보셨나요운영진들   긴  거리 타보셨나요두시간  1년신청한 저에겐  의문입니다따르릉  요즘거말고  거의다가 안장높이가  6이나  8너무낮습니다164인저도   한강질주엔  높이가  9가되야  좀안정적인데남자분들은 오죽할까요안장높이   최대길게뺄수있게교체해주십시요
57,kr*****,2019.07.30,남는 대여시간,남는대여시간을 따로 다음에 쓸수 있게 해주세요.
58,yo*********,2019.07.30,미반납 및 초과결제 문제,2일전 동일한 문제가 있었는데 그때는 통신문제는 있었지만 초과결제가 발생하지않아 고장신고로 마무리하였는데 이번에는 미반납 문제로 인해 초과결제가 발생하여 글을 남깁니다spb-16462 자전거 신고자인데 먼저 금전문제에 대해  해결부탁드리구요바쁘시겠지만 따릉이 통신문제 신속하게 해결해주셨으면 좋겠습니다최근 자주발생하다보니 따릉이 대신 다른 대중교통을 이용하게 되네요추가적으로 다른 글을 보니 반납시에 확인 하라고 하는것 같은데 그자리에서 반납이 확인이 되든 안되든 신고접수하는것은 마찬가지이므로 반납확인문제와 위의 미반납 및 초과결제문제는 별개의 문제인것 같습니다
59,zx*******,2019.07.30,자전거 정상반납후 미반납되었다고 하며 초과이용 추가요금 발생되었다고합니다.,"230. 영등포구청역1번출구에서 SPB 16388 자전거 대여후,232. 양평우림 이비즈센터앞에서 정상반납을 하였으나 정상적으로 반납이 안되었다고하네요??약 1시간반정도 흐르더니 정상반납되었다고 문자오면서 초과이용에대한 추가요금발생되었다고합니다.비용이 크게 발생된건아니지만 기분이 불쾌할정도로 장애가 종종 발생되는데 빠른 조치좀 해주셨으면합니다.이런 장애가 지금 두번째 겪고있는데 다른분들도 저와같은 경험이 없지는 않을거라 생각되네요"
60,st******,2019.07.30,고장 자전거 및 자전거 수 오류,분명히 3대가 있다고 나와있어서 가는중에 이용권 구매 후에 이용하려고 다시 들어가보면 고장 자전거 2대에 이용할 수 없는건 1대도 없다고 나오고 실제로 보면 4대가 거치 되어있는데 이런식으로 고장 자전거 확인도 못하게 하다가 이용권이 있어야 볼 수 있게하는건 금액도 금액이지만 운영방식이 잘못된거 아닌가요. 저번에도 그래서 큰 금액 아니니 그냥 넘어가자는 생각이였는데 출근길에 버스도 보내고 자전거 타고 가려던 생각이였는데 낚이는 기분이 매번 좋지가 않네요. 조치 좀 부탁드립니다 제발
61,sk*****,2019.07.30,비밀번호가 입력이안되는데 ,왜 입력이 안되는거죠 프로그램 오류인가요 아니면 다른사람이 대여신청했을경우 안눌리는 건가요 ??
62,pa*********,2019.07.30,고장자전거 카운팅,고장난 자전거가 지도상에 이용가능한 자전거수로 표기되어 허탕치게 만듭니다. 시정바랍니다.
63,na****,2019.07.30,반납 안됬다고,계속문자오네요 이미 자전거는 잠겨있는데 ... 요금폭탄 맞는거는 아니겠죠?
64,gu******,2019.07.30,반납이 또 안돼욛,다산 콜 센터로 접수했습니다.7월30일 04:20분쯤 반납했고요새절역 2번출구로 반납했는데 이게 왜 처리가 안돼나요홈버튼을 눌러도 아무런 미동도 안하고 이러고 과금되는거 아니겠죠 저번에도 그랬는데 이번엔 확인차 와서 다시 홈버튼 누르고 아무리 연결한거 빼려고 해도 안돼요이런거 처리좀 잘 해주세요
65,re*****,2019.07.29,임시폐쇄,"통신장애라는게구체적으로 어떤 장애를말하는건가요,복구불가능인가요?복구의지가없는건가요?적자로 인한 눈가리기식 폐쇄인가요?답변부탁드려요"
66,pl******,2019.07.29,상계 온곡초교사거리 증설 요청,온곡초교 사거리 따릉이 소요량이 높습니다.추가 설치가 필요해보입니다정기권을 쓸수가 없네요사용량 확인하시고 거치대 대여자전거가 없는 시간대가 너무 많습니다빠른시간 답변 바랍니다
67,pe*******,2019.07.29,통신복구,대여소 통신복구는 보통 얼마나 걸리나요
68,ga*********,2019.07.29,따릉이로 빠른길찾기_해주세요,"따릉이를 타기 전에 항상 대여소 위치를 찾습니다.포털에서 이용하는 '빠른길찾기'처럼출발지와 목적지를 찍으면,따릉이 대여와 반납이 가능한 지점까지 찾아주는 서비스를 해주면좋겠습니다"
69,ja*******,2019.07.29,반납 처리 안됌,"<따릉이> 2019-07-29 18:35:18.0분 현재 고객님께서 이용하신 자전거 번호 : SPB-18045가 반납이 정상적으로 되지 않았습니다. 따릉이 운영센터에 문의하세요.  아까 문의남겼는데  아직도 처리가 안됐습니다, 추가요금도 나올것 같은데 빠르게 처리 좀 부탁드립니다"
