,name,date,score,comment
1767,Google 사용자,14/10/2018,2, 오후 8시되면 운영을 안하나봐요? 사전 공지가 필요해보입니다. 그리고 주차되어있는 곳으로 가봐도 실제론 없네요. 헛걸음 연속되니까 기분이 안좋아여-.-
1779,Jinyoung Song,16/10/2018,2, 지도상에있는위치에 킥보드가있지를않네요ㅠ 아마도 gps자체의문제같은데 뭔가 오퍼레이션쪽으로 풀어야할것같아요 킥보드찾다가 오히려 약속시간에 늦었습니다 또 제카드는 아멕스인데 등록이안됩니다 하나더 앱내에있는 의견보내기는 보내기가 안되더군요
1818,Google 사용자,19/10/2018,2," 가격이 넘 비쌈 킥 상태 더러움 관리가 잘 안되는듯 강남만 하구 잇음 30분타면 3,500원"
1760,Sangwon Lee,19/10/2018,5, 너무 좋음 근데 가격은 조정이 필요할듯 5분 1000원은 해도 너무함 거기에 한달 20회 기준 10분 씩 1만원애 정액권 판매하면 사서 이용할 생각 있음
1814,zz nb,24/10/2018,1, 뭐 어디에 있다는건지 ㅋㅋㅋㅋ 계속 도망만 다니는 킥보드.. 우째찾습니까^^ 바로 삭제갑니다
1728,최성아,24/10/2018,4," 생각보다 평점이 너무 낮아서 놀랐습니다. 장점1: 저희동네에 이런 교통수단이 생겼다는 사실에 온가족이 기뻐하고 있습니다. 장점2: 이용자분들이 지정구역 외에 주차해놓으셔도 아침에 보면 킥보드들이 다 원위치되어있습니다. 개선건의1: 이용가격이 조금이라도 저렴해지면 더 좋겠습니다. 10분 타면 1500원, 20분 타면 2500원... 몇백원이라도 가격을 낮출 방법을 모색해주셨으면 합니다. 정액제도 좋은 방법이라고 생각합니다. 개선건의2: 가격인하가 이뤄지지 않더라도 계속 이용할 예정이지만, QR코드 인식에 있어서 불편함이 너무 큽니다....전체 리뷰생각보다 평점이 너무 낮아서 놀랐습니다. 장점1: 저희동네에 이런 교통수단이 생겼다는 사실에 온가족이 기뻐하고 있습니다. 장점2: 이용자분들이 지정구역 외에 주차해놓으셔도 아침에 보면 킥보드들이 다 원위치되어있습니다. 개선건의1: 이용가격이 조금이라도 저렴해지면 더 좋겠습니다. 10분 타면 1500원, 20분 타면 2500원... 몇백원이라도 가격을 낮출 방법을 모색해주셨으면 합니다. 정액제도 좋은 방법이라고 생각합니다. 개선건의2: 가격인하가 이뤄지지 않더라도 계속 이용할 예정이지만, QR코드 인식에 있어서 불편함이 너무 큽니다. 이용자가 직접 사진찍기 버튼을 누를수없이 저절로 사진이 찍히게 돼있는 것은 꼭 고쳐주셨으면 해요. QR코드에 딱 맞춰서 갖다대기도 전에 사진을 찍어버립니다. 이걸 2~5회 반복해야 성공하니, 바쁜상황에서는 킥보드를 대여하기가 좀 망설여지고, 중년층 분들은 이걸 못 참고 포기가 좀 더 빠르신 것 같아요. 개선건의3: 앱이 안정화가 필요합니다. QR코드를 찍은후 승인과정에서 도대체 얼마나 기다려하는건지... 잘될때도 있지만 안될땐 엄청 안되더라구요. 한마디로 버퍼링이 심합니다. 이건 이번 업데이트에서 개선하셨다니 아직도 이런지 확인해보겠습니다. 개선건의4: GPS 정확도가 떨어집니다."
1771,고준호,25/10/2018,1, 강남구에서도 극히 일부 지역만 사용가능. 서비스지역확대 언제쯤 가능할지도 미정. 심야시간 이용 가능여부도 미정. 이럴거면 좀 더 충분히 준비해서 사업을 시작하던가.
1785,김도연,25/10/2018,2, 킥보드 찾으러 걸어 다닌거리가 목적지 가는 거리만큼 되는데도. 킥보드 못찾음. 건물안에 숨겨 놨는지 당췌 찾기가 힘듬.
1824,Kyoum_D,27/10/2018,1, 한번이용해봣는데 그이후로는 보이지도않네요
1809,이용준,31/10/2018,2, 서비스 지역이 어딘가요? 강남에서만 보이던데 강남 외 지역으로 이동하면 반남 가능한가요?
1832,황덕현DkTheBlank,01/11/2018,1, 앱 실행이 되지 않습니다.
1807,giseon Oh,02/11/2018,2, 한참 재밌게 탐 근데 장소가 너무 한정적임 그래도 이해하면서 이용할라했는데 지금 왜 대여하기 하면 화면이 안 뜨는지.. 급하게 갈라했는데 망함
1735,Jangho Bae,12/11/2018,4, 잘 사용했습니다. 다만 몇 가지 개선이 필요한 부분이 있는 것 같아요. 1. 앱 자체의 문제보다는 GPS의 정확도나 개인의 이기심(잘 안보이는 곳에 숨겨두기)의 문제로 인해 디바이스를 쉽게 찾기 어려운 문제가 있는 것 같고요. 2. 기기의 락이 잘 해제되지 않는 문제가 있습니다(QR인식의 문제인가 싶어 디바이스 문자 코드로도 여러차례 해봤지만 앱을 껐다가 재실행하고 나서 거우 되었습니다). 3. 과금 측면에서도 조정이 필요할 것 같습니다. 가까운 거리에서 버스 이동(우성아파트 사거리에서 신논현)인데도 택시보다 비싼 요금인 것은 재고...전체 리뷰잘 사용했습니다. 다만 몇 가지 개선이 필요한 부분이 있는 것 같아요. 1. 앱 자체의 문제보다는 GPS의 정확도나 개인의 이기심(잘 안보이는 곳에 숨겨두기)의 문제로 인해 디바이스를 쉽게 찾기 어려운 문제가 있는 것 같고요. 2. 기기의 락이 잘 해제되지 않는 문제가 있습니다(QR인식의 문제인가 싶어 디바이스 문자 코드로도 여러차례 해봤지만 앱을 껐다가 재실행하고 나서 거우 되었습니다). 3. 과금 측면에서도 조정이 필요할 것 같습니다. 가까운 거리에서 버스 이동(우성아파트 사거리에서 신논현)인데도 택시보다 비싼 요금인 것은 재고할 여지가 있어보입니다. 심지어 킥보드는 무시하지 않는 한 지정주차장소도 있으니까요. 십수년째 전동 모빌리티에 관심 많은 사람으로서 앞으로 발전할 모습을 기대하며 응원합니다.
1813,An Hyeng il,16/11/2018,1, 카드비번 잘못 입력하니 처음부터 다시 입력. 요즘에도 이런 시스템이 있구나
1797,조민성,19/11/2018,1, 카드정보는 입력했는데 서비스 지역도 너무 좁고 해지할 방법이 없네요. 계정 지우고 카드 정보도 지워 주세요.
1812,kyle Jang,22/11/2018,1, 출퇴근때 주로 써야하는데 아침 9시되도록 서버문제때문에 못쓰면 이게 효용가치가 있는 어플인지 모르겠다
2149,namkyu ahn,22/11/2018,1, 서버터졌나요
1774,Rolly,27/11/2018,2," 찾기힘들어요. 수가 적다보니 찾으러가는게 오히려 일이예요.... 비용도 너무 비싸요. 앱상에서 문의남길곳도 없고 이용시간,이용요금찾기도힘들게되있고...운영이매끄럽지못한거같아요"
1766,이재구,29/11/2018,3, 이 앱을 설치후 네트워크 오류가 너무 많이 발생함. 킥보드 주차 위치가 거의 건물안에 있어 실제 사용불가능. 일주일 넘었지만 실제로 딱 두번 타봤음. 건물주차하는 사용자는 막아야 할듯.
1834,MINWOO LEE,01/12/2018,1, 다운로드가 안되네요
1804,Google 사용자,04/12/2018,1, 아니 QR코드와 번호입력 둘다 잠금해제가 안되면 어쩌자는 거지 힘들게 찾아왔는데 잠금해제안되면 멘탈 터진다 좀 관리좀 해라:
1741,Suah Baek,05/12/2018,5, 넘 재밌어요 평점이 낮아서 놀랐어요 저는 걸어서 출퇴근 하는 직장인인데 이제 이거 때문에 그나마도 운동을 안하게 될 것 같네요....ㅋㅋㅋ 개선점은.. gps 정확도가 떨어집니다 그래서 찾기가 좀 힘들어요
1773,Jason Lee,26/12/2018,5, 멋진 아이디어로 서울 전역에이어 전국확대되길 진심으로 기원합니다^^
1835,김동수,28/12/2018,1, gps표시 개같네요..
1765,백승호,10/01/2019,5, 대박이네요. 아침에 골프연습하고 사무실 가는데 너무 편합니다.ㅋ
1792,현아,13/01/2019,1, 건물이나 아파트 단지내에 있음 그래도 있을까 해서 찾아보니까 없더라 시* 얼마나 개고생했는데 샤ㅇ 위치로 가면 다르곳에 뜸 얼마나 빡치는데 위치서비스좀 고치셈
1096,유한영,15/01/2019,5, 아주 혁신적인 서비스입니다. 조만간 대한민국 전국 방방곡곡에서 볼 수 있길 희망합니다. 물론 킥보드를 일일이 수거하여 충전하는 번거로움을 대체할 방법은 찾으셔야 하겠습니다 ㅋㅋ
1643,Martial Arts,15/01/2019,5, 이거 왜 거르는거냐? 좋기만한데
1004,Kwak Elley,16/01/2019,5," 걷기엔 시간이 좀 걸리고 차 타기엔 애매한 거리라 출퇴근 시 잘 이용하고 있습니다. 원래 이런 평가 작성은 잘 안하는 편인데, 미처 몰랐던 반납오류에 대하여 먼저 연락주셔서 처리해주시는 선제적 대응에 감동해서 적어봅니다 ㅎㅎ 참고로 호기심으로 1회성 이용으로 끝날 수 있는데, 여러차례 쿠폰 발급을 통해 사용자 체험을 늘림으로써 이용빈도를 높이는 부분도 좋은 아이디어라 생각해왔습니다. 앞으로도 좋은 서비스 부탁드리며, 간혹 지도보고 킥보드 찾아갔는데 이전 이용자가 숨겨두었는지 결국 찾질 못한 적이 있습니다. 자동차키 누르면 소리가 나...전체 리뷰걷기엔 시간이 좀 걸리고 차 타기엔 애매한 거리라 출퇴근 시 잘 이용하고 있습니다. 원래 이런 평가 작성은 잘 안하는 편인데, 미처 몰랐던 반납오류에 대하여 먼저 연락주셔서 처리해주시는 선제적 대응에 감동해서 적어봅니다 ㅎㅎ 참고로 호기심으로 1회성 이용으로 끝날 수 있는데, 여러차례 쿠폰 발급을 통해 사용자 체험을 늘림으로써 이용빈도를 높이는 부분도 좋은 아이디어라 생각해왔습니다. 앞으로도 좋은 서비스 부탁드리며, 간혹 지도보고 킥보드 찾아갔는데 이전 이용자가 숨겨두었는지 결국 찾질 못한 적이 있습니다. 자동차키 누르면 소리가 나듯, 찾기버튼을 누르면 삐빅 소리가 나는 기능이 추가되면 더욱 좋을 거 같네요. ^^"
1584,윤튜브yoontube,20/01/2019,1, 분명 10분 무료쿠폰으로 이용했는데 결제0원이라고 까지 뜬거 확인했는데 다음날 1000원 빼가는건 무슨 상황인가요? 좋다고생각했는데 어이없네요
1014,해원,21/01/2019,5, 이걸 너무 늦게 알아낸게 아쉬울정도로 잘 사용하고있습니다. 출퇴근길 발목이 아파서 남들 10분 거리 딱 두배로 다니다가 우연히 주변에서 같은 전동킥보드를 많이 타는걸 이상하게 생각하며 킥고잉을 알게 되었습니다 이후 저는 제 발목과 상관없이 편하고 자유롭게 다닐 수 있습니다. 물론 생각보다 빠른 속도감과 바닥에 구멍들을 신경써야하지만 그건 어떤제품을 타도 똑같을거니까요 :) 주차장에 헬멧을 두는 아이디어는 어떻게 생각하시는지! 다들 헬멧없이 타는건 걱정스럽더라고요. 모두를 만족시킬순 없지만 적어도 저는 아주매우 만족합니다 짱짱
1127,Jaehun Kim,21/01/2019,5, 진짜 편함. 개인젇으로 갖고있는데 들고나오기 귀찮았는데 이거 있는거 알았음 안샀음. 최고다. 헬멧이랑 운전면허 부분이 애매한데 일단 고민하지 않기로 한다.
1214,SANG JIN LEE,24/01/2019,5, 그동안 불편했던 거리 이동시 정말 도움 많이 되었습니다. 좀 더 많은 분들 도움 되었으면 하는 마음에 리뷰 남깁니다~
1274,hyo jeong Yoon,24/01/2019,5, 송파에 거점이 많이 생겼군요. 강동구에도 풀어주세요!!!! 출퇴근할 때 타고 싶어요☆
1470,김지훈,24/01/2019,5," 어플깔고 이거 타고다니면서 차 팔았어요 ^^~ 차 판돈으로 이거 타고다니는데 , 아마 평생 탈 수 있지않을까 싶네요~ 손자에게도 물려주려구요 ~ 킥고잉 짱짱!!!!!"
1682,BONG KI Lee,24/01/2019,5, 매우 편리하고 쉽다!
1721,Google 사용자,24/01/2019,5, 진짜 편했어요.
1763,김김지영,24/01/2019,5, 편리해요
2147,Google 사용자,24/01/2019,5, 최고임~
1407,이기백,25/01/2019,5," 사용하기 매우 편하고, 활용성이 매우 높은 서비스입니다.."
1703,young k,25/01/2019,5, 정말 편하고 좋아요
2148,Taehee Lee,25/01/2019,5, 굳
1633,배지환,27/01/2019,4, 처음접해보는 앱이라 신선해요!
1264,Google 사용자,27/01/2019,5, 친환경적인 대안 교통으로 맘 편하게 이용했습니다. 많은 사람들이 이용할 수 있었으면..
1610,가오낫이,27/01/2019,5, 강남쪽말고도 다른곳도 많이있었으면 합니당
1732,Google 사용자,27/01/2019,5, 정말 편리해요
1568,Google 사용자,28/01/2019,5," 이용해 보니 출근길, 퇴근길이 편해졌어요."
1693,EunSuk Kim,28/01/2019,5, 이제 없으면 안될거가틈... 기엽고
1725,이재웅,28/01/2019,5, 재밌고 편리해요!
1745,Byung-Mo Kim,29/01/2019,5, 완전 좋음!!
1712,김진생,30/01/2019,1, 강북에서도 서비스 이용할 수 있게해주세요..ㅠㅠ
1743,김강수,31/01/2019,5, 빠르고좋아요
1545,Jups Kim,01/02/2019,2, 사거리낀 역에서 위치정확도가 떨어져서 항상 길을 건너야 되는 상황발생. 신호가다리다 보면 걸어가는시간과 별반 다를게 없음
1825,홍건표,04/02/2019,1, 타고 가다가 갑자기 연결끊어져서 다시대여하느냐고 돈이 2배로드네요
1036,남동현,08/02/2019,4," 건물 안으로 킥보드 가져가서 보관하는 xx들 이용정지 시켜주세요. 킥고잉 서비스 아주 만족스럽게 이용중인데, 개인 킥보드처럼 이용하는 xx들이 많습니다. 특정건물 주위로 gps가 잡혀있지만 건물주위를 다 둘러봐도 킥보드가 없어 헛걸음한 적이 많습니다. 이런 불량이용자들 신고받고 색출하여 영구이용정지 시켜주세요! 킥고잉 화이팅!"
1354,승훈이,12/02/2019,3, 지도보려고 어플 나가기만 하면 어플이 바로 종료되면서 자동으로 반납되버립니다.. 왜이러지하면서 다시 대여하고 그러느라 10분도 안되는 짧은 거리에 3000원넘게 나갔네요... 다 좋은데 반납은 반납하기 누르는 거로만 됬으면 좋겠어요... 5점주고싶었는데 ㅠㅠ
1037,김나나나,12/02/2019,4, 쿠폰도 주고 좋아요~다만 gps가 조금씩은 오차가 있어서 찾기힘들때가 많아요. 몰래 숨겨놓고 반납하는사람들(그로인해 기계가 장시간 대여가 안되는 것들) 전산에서 요금을 하루치 부과했음 좋겠어요. 일부러 곳곳에 숨기는사람많네요. 아니면 주차 위치나 대로변 반납아니면 요금을 추가로 내는시스템되면 안숨기지않을까싶네요.
2146,Gorani tv,12/02/2019,5, 나잇뜨♡
1340,이관희,16/02/2019,5, 잠실 직장인예요. 요즘 너무 잘쓰고 있습니다. 번창하시길!
1695,Google 사용자,16/02/2019,5, 너무너무너무 편하네요.
1748,Google 사용자,16/02/2019,5, 걸어가기에는 먼 거리를 이동할 때 킥고잉을 이용하면 빠른 시간 내에 이동할 수 있어서 좋은 것 같습니다.
1062,도라에몽,20/02/2019,5, 오늘 아침 출근하면서 타봤는데 신선하네요ㅎㅎ 출근거리가 걸어서 15분정도이지만 언덕이 높아서 가까운 거리라도 택시타고싶은 마음이 매일 굴뚝같았습니다ㅋㅋ오늘 처음이용해서 7-8분만에 도착했네요ㅋㅋ킥고잉타면서 출근길이 재밌었습니다! 헬맷은 따로 준비해야한다는게 조금 아쉽네요! 더 많은 지역에서 이용가능해지기를 바랍니다 감사합니다ㅎㅎ
1276,KWANGROC KIM,21/02/2019,3, 좋지도 나쁘지도 않음. 장점 : 차막힐 시간이나 정체구간은 빨리 갈 수 있음 저렴함 레저의 기분도 느낄 수 있음 무겁게 들고 이동할 필요 없이 두고가면 됨 단점 : gps 상태 너무 제각각임. 한번에 찾을 수 있는 곳에 있는 킥보드도 있는 반면에 포켓몬 찾듯이 사방 돌아다녀도 도무지 찾을 수 없는 곳도 있음. 찾다가 포기하고 버스 이용함. 짜증남 의견보내도 반영이 안됨. 벨로는 사람들이고 차고 내가 지나가는걸 전혀 인식 못함. 오토바이용 작은 경적이라도 바꿔 달았으면 좋겠음. 지금 상황에서는 좋다고도 싫다고도 못할 아주 어정쩡한 시...전체 리뷰좋지도 나쁘지도 않음. 장점 : 차막힐 시간이나 정체구간은 빨리 갈 수 있음 저렴함 레저의 기분도 느낄 수 있음 무겁게 들고 이동할 필요 없이 두고가면 됨 단점 : gps 상태 너무 제각각임. 한번에 찾을 수 있는 곳에 있는 킥보드도 있는 반면에 포켓몬 찾듯이 사방 돌아다녀도 도무지 찾을 수 없는 곳도 있음. 찾다가 포기하고 버스 이용함. 짜증남 의견보내도 반영이 안됨. 벨로는 사람들이고 차고 내가 지나가는걸 전혀 인식 못함. 오토바이용 작은 경적이라도 바꿔 달았으면 좋겠음. 지금 상황에서는 좋다고도 싫다고도 못할 아주 어정쩡한 시험 단계라고 생각함.
1428,Gwang Hwan Ryu,22/02/2019,1, 카드 등록 삭제가 안되네요. 결제카드는 삭제가 안된다고 나오고 최소 1개의 결제카드는 무조건 지정이되네요. 모든 카드 등록 삭제가 가능해야 하지 않을까요..
1798,에슈eshu,22/02/2019,3, 사용지역 작음
1390,Je Je,23/02/2019,3," 요 며칠 찾아다니면서 잘타고다녔는데, 당분간은 눈앞에보이지않는이상 안타려구요.. 건물안이나 단지안으로갖고들어가는 양아치들때문에 못쓰겠습니다.. 헛걸음몇번하고퇴근더늦어지니현타오네요.. 따릉이나타렵니다당분간"
1702,ByungJo Chun,24/02/2019,1, 회원가입 창에 들어갔는데 암것도 안뜹니다만 어떻게해야합니까...
1753,정혜진,25/02/2019,5, 진짜 편하구 너무 좋아서 미칠거같아오
1188,JiSoo Sohn,26/02/2019,1," 타려고 찾아가는데 가는 곳마다 없어요. 3일째 아침 출근 시간에 르네상스호텔사거리 사방을 돌아다니는데도 없네요. 오늘은 역삼역까지 걸었는데 르네상스 사거리에 있다고 나오는 4대도 없고, 가는 길에도 2대 있다고 나오는데 없고..^^??"
1493,한정식,26/02/2019,1, 어제까지 잘 사용됫던게 오늘아침부터 갑자기 본인인증하라는데 SKT라 패스로 문자인증햇는데도 대여가안됩니다..전화번호변경때문인지 모르겠지만 어플에서 변경도안되고 제가입해야되나요?
1607,반가람,26/02/2019,1, 인증을 몇번이나 하게하냐 잘 쓰다가 면허 인증은 왜 또 하라고 하는거며 인증이나 제대로 되야지 본인인증을 10번을 넘게했는데 계속 다시 인증하라하네 짜증나서 못써먹겠다 아씨
1716,박창규,26/02/2019,1, 회원가입오류 패스 인증창이안떠요 문자인증10번넘게했는데도 가입 오류네요
1722,SH Ahn,26/02/2019,1, 가입이 안되요 알뜰폰 사용자라 그런지 인중번호 넣러도 오류발생뜨네요
1727,윤유빈,26/02/2019,1, 본인인증에서 계속 실패했다고만 뜨고 아무것고 못하네요
2145,LOVELY,26/02/2019,1, 기분나쁘게 웁쓰 거리면서 회원가입안되네요
1692,Ji Hwan SHin,28/02/2019,1, 아니ㅡㅡ본인인증을 할수가없어 면허증 등록하라면서 계속 화면초기화가되면 어쩌라는거야
1787,유시연,28/02/2019,1, 출퇴근시간 없어서 못탐
1806,정의구현,28/02/2019,1, s7+ 인증안됩니다
1489,박조커,28/02/2019,5, 강남구 송파구 지역 전체확장 해주셨으면 좋겠습니다.
2144,리차드김,02/03/2019,3, 좋네요
1664,전선미,03/03/2019,1, 앱제거 후 재실행을 해도 신규회원가입 본인인증 노출되지않음 신규회원 더이상 안받으려고 하는건지...
1043,Google 사용자,04/03/2019,4," 다좋은데 서비스 범위가 너무좁아요. 홍대와 여의도는 같은 서비스권이라도 킥고잉타고 다리를 못건넘. 범위좁은거 그렇다치고 인간적으로 해외는 12시까지 사용가능하게해주는데 여긴 8시까지라, 퇴근하고 급하게 뛰어와서 킥고잉 놓칠까봐 질주해야되는현상.... 너무 시간이 아쉬워요."
1297,K Astronaunt,04/03/2019,5," 센텀시티 확장은 좋은데, 바로 옆에 수영강길 따라 달릴 수 있게 해주면 더 인기가 많아질 듯 합니다."
1466,조현우,05/03/2019,1, 개인 킥보드마냥 건물안으로 들고 들어가는 사람 제재 좀 부탁드려요 헛걸음에 시간만 날리는게 한두번이 아니에요
1699,민병철,05/03/2019,1, 몇번을 굴려야 시동이 걸리는지..차라리 버스탄다. 별하나도 아까움
1723,영호갓,05/03/2019,3, 되는 지역이 너무적어요 영등포구는 다되어야 사용할만 하지
1527,박정서,05/03/2019,5, 이용요금이 조금 비싸요 그외는 가끔씩 요긴하게 사용합니다^^
1650,S2새얀,08/03/2019,1, 갤럭사 s7입니다. 인증안됨 인증하래서 들어갔는데 흰 화면만 뜨네요 이러다가 9일 되면 인증안했다고 못타게 하겠죠
1744,옵디,08/03/2019,1, 회원가입 본인인증 창 안떠서 가입도 못함
1795,Choi Jae Young,08/03/2019,1, 첫 가입후 사용해봤는데요 8분 탓는데 나온 비용이 거의 2천원 돈인게 너무 부담되더군요 그런데 값이 비싸 탈퇴하려니 탈퇴란이 앱에 없더군요 탈퇴어떻게 하나요?
1567,HyunBaek Choi,11/03/2019,1, 인증안됨인증안됨인증안됨 어쩌라는거..문자도안돠고 앱도깔았는데 안됨. 다른데서 인증할땐 개잘되는데. 개발자좀 갈아넣읍시다
1726,유재현,11/03/2019,2, 업데이트 이후 자동 꺼짐 현상이 심합니다
2143,H Yoon,11/03/2019,5, 최고!
1497,김창수,12/03/2019,3, 위치가 부정확한건지 아니면 진짜 무한 이기주의로 숨겨놓는건지 위치에 없는 경우가 허다하네요.
1249,심민수,13/03/2019,5, 좋긴한데 자기들만탈려고 킥보드 숨기는사람들이 너무 많습니다 이용종료할때 현재위치사진을 촬영해서 다음사람이 이용하기 편하게 만들면 좋을 것 같습니다
1465,Google 사용자,13/03/2019,5, 편리한 서비스 출시해주셔서 감사합니다.^^ 외국에서 보고 부러웠는데 넘 좋네요ㅎㅎ
1710,김동진,13/03/2019,5, 무료쿠폰으로 이용 할만 하네요~ 내돈 주고 타기는 좀...
1764,김수영,15/03/2019,1, 주차장만 키면 앱이 뻗음...
1758,신미,16/03/2019,1, 탈때마다 등록하라고 하네요
1711,대도서관야스오1000도칼로액괴자르기샌즈,16/03/2019,3, 다좋은데 부산 센텀지역 좀 넓혀주세요 집이 딱 경계선이라ㅋㅋ 타기 애매해요
1237,Hi,16/03/2019,4, 10분 내로 이동할만한 교대 강남. 역삼 선릉 이동할때 좋습니다. 강남 역삼 사이는 5분내 주파가능. 다만 강남역 중심으로 테헤란로 따라 사람이 많으니 주행중 사고 유의. 가끔 건물안에 있는걸로 표시되는건 뭔지 당최모르겠네요.
1775,Thomas Oh,17/03/2019,2, 사용해보고 후기쓸께요%
1310,Jhoney Kim,19/03/2019,1, 블루투스연결이 불안정한지 대여도 거의 안되고 대여되도 타고가다 1분만에 반납처리 되어버립니다. 운전면허 등록하라고해서 사진찍었는데 필수정보 확인불가라면서 안됩니다. 무슨정보가 확인 안되는지는 안알려줍니다.
1511,Google 사용자,21/03/2019,2, 앱 업데이트하니 정보가 다 날라가서 재인증하느라 번거로워서 사용을 못하겠네요. GPS 도 부정확해서 지도에 뜬 자리로 가보면 틱보드 없을때가 많아요
1601,Joshua H,21/03/2019,5, 앱은 별로지만 서비스는 최고예요! 앱 안정성 높이고 쿠폰발급만 지금처럼 잘 해주시면 최고의 어플이 될 듯
1411,이봄,22/03/2019,1, 운전면허 없는중고등 학생들도타고 다니네요 이건뭐 타인의 아이디나 면허증 사용해도 문제가없는어플일듯 조치부탁드립니다 면허증없이타게 바꾸던지 아니면 제재를 강력히가하던지
1736,최주안,22/03/2019,1, 업데이트 개구리게 해놨네 왜 업데 학ㆍㄷ 인증또하라함 그것도 pass로 어플삭제함
1772,S Enzika,23/03/2019,1, 서비스 구역이 ..
1492,landon,23/03/2019,5, 진짜 편하고 좋아요!!! 홍대가서도 타고 강남에서도 타고 있어요!! 얼른 전국에 생겼으면 좋겠네요
1182,Sang Hoon Lee,24/03/2019,1, 뒤지게 연결안됌 퍽하면 끊기고 잠깐정차후 출발하려니까 반납되서 언덕길에서 차에치여 뒤질뻔했음 고객센터 백날천날 남겨봐야 답변도 없고 스리슬쩍 5분에 1000원으로 올려두고 공지도 안함 ㅋㅋㅋ ㅣ흑우되지 맙시다 여러분들 ㅋㅋ
1681,서동연,24/03/2019,1, 인증 요구 계속 요구하네여. 글고 인증할라고 T인증앱 자동으로 켜지지도 않아요 . 와방 불편
1761,차태경,24/03/2019,2, 편하긴한데 10분 무료사용이 없어진것은 둘째치고 너무 비싸요.. 10분 무료사용 없어지면 사용 별로 안할듯해요
1751,명승범,25/03/2019,1, 아진짜서버오류계속뜨면어쩌자는거야
1755,Google 사용자,25/03/2019,1, 관악구에는 언제쯤 서비스 될까요??
2142,Google 사용자,25/03/2019,5, 베리굿
1011,Eungchang Lee,26/03/2019,5, 아주 좋습니다. 추가하자면 도착지에서 잠시 실내 일 보고 나와 돌아올 때 누가 픽업해가는 수가 있어... 일정 시간 예약하기 기능이 있었으면 좋겠습니다. 약간 떨어진 거리에 하나 남은거 보고 가다가도 누가 먼저 가져가시는 경우가 있으니 예약 기능이 유용할 듯 하고요. 반납 시 사진 인증 기능이 있으면 실내에 숨기거나 주차장 안쪽에 숨기시는 분들로 인한 피해가 예방되지 싶습니다. ^^
1522,황윤식,28/03/2019,1, 앱이 문제가많네 업뎃하면 데이터를 다 지워버리네.. 급할때 쓰려고 켯는데 처음부터 다시등록해야되서 못씀. 킥고잉은 영원히 삭제
1700,박주일,28/03/2019,1, 이앱의 최대단점은 버그가 아니라 타러 가보면 찾을수가 없다는 점이지 ...
1672,최마리,29/03/2019,1, 가입 하려고 해도 본인 인증이 안넘어가서 사용도 못해보고 그냥 삭제합니다.
2140,wistiger 418,29/03/2019,1, 가입 전 인증하기 하는데 인증앱도 제대로 실행 안되고 써보기도 전에 포기 했네요~
1731,크앙,02/04/2019,1, 갔는데 없고... 또 갔는데 없고.. 장난하나 더 늦었네
