selected,content
자전거 관리 상태;기어 단수 조절 부족(자전거 관리 상태),기어 단수가 다양하면 좋겠습니다
자전거 무게;자전거 관리 상태;속도와 적은 기어 단수(자전거 관리 상태),"기어를 좀 더 늘려서 속도와 경사도에 보다 유연하게 대처할수 있도록 해야한다고 생각합니다
또한 신형 따릉이는 아니지만 구형따릉이의 안장이 너무 낮은 것도 개선해주시면 감사하겠습니다"
로그인의 불편함;대여 비밀번호 관련 불편함;거치대위치 언덕 (반납과정에서의 불편함),
로그인의 불편함;대여 비밀번호 관련 불편함;특정 대여소에 특정시간이후엔 따릉이가 없다(대여 방식의 불편함),"01037092790 김우종
가끔 브레이크가 잘 안먹는게 있는데 점검이 필요하다"
자전거 무게;반납 과정에서의 불편함;자전거 관리 상태,자전거 기어 추가 010-9564-7464
결제 수단의 부족;이용권 사용의 불편함;자전거 관리 상태,자전거 안장이 미치도록 낮음. 전부 다 올리고 타도 한 30분 타면 너무 낮아서 무릎이 땡김. 이전에 안장이 높은 자전거를 탈 때에는 전혀 이러한 현상이 없었음. 그리고 특정 시간대에 항상 몇몇 대여소에 자전거가 없음. 특히 서울역쪽에 있는 대여소는 멀쩡한 자전거가 있는걸 보기 힘듦.
반납 과정에서의 불편함;따릉이 대여소 부족(대여 방식의 불편함),반포역에 따릉이 설치해주세요...
불편사항 없음,
이용권 사용의 불편함;대여 방식의 불편함;불편사항 없음,고객센터 연락이 늘 통화중입니다.
로그인의 불편함;결제 과정의 불편함,
지도(GPS),
자전거 관리 상태,
자전거수요가많은 대여소에선 자전거가 없을때가 종종있어 불편함(대여 방식의 불편함),자전거대여소에 자전거가 부족할시 신속히 자전거를 배치하였으면 좋겠습니다
"어플 끊김, 어플 메뉴 배치의 불편함;자전거 무게;불편사항 없음",
자전거 무게;자전거 관리 상태;현장에서 대여하지않는 '예약대여족'들의 적반하장 (대여 과정의 불편함),자전거 재배치가 어느 주기로 무슨 기준에 의해서 이루어지는지 공지할 필요가 있음. 자전거 안장의 높이제한을(보통 8이상으로 안장이 안 뽑힘) 높여서 키큰사람의 이용도 편리했으면 좋겠음.
자전거 무게;자전거 관리 상태;불편사항 없음,1036898487
로그인의 불편함;결제 과정의 불편함;자전거 관리 상태,
로그인의 불편함;대여 비밀번호 관련 불편함;결제 과정의 불편함,
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;자전거 무게",
"어플 끊김, 어플 메뉴 배치의 불편함;반납 과정에서의 불편함",
자전거 관리 상태,자전거수가 늘어야할거 같습니다
로그인의 불편함;가까운 거리 대여소가 없음(대여 방식의 불편함),
결제 수단의 부족;자전거 무게;자전거 관리 상태,자전거 상태 개선 필요성 느낌
결제 수단의 부족,
대여 비밀번호 관련 불편함;반납 과정에서의 불편함,
불편사항 없음,
로그인의 불편함;이용권 사용의 불편함;대여 방식의 불편함,
자전거 관리 상태,
결제 수단의 부족;자전거 관리 상태,
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;자전거 관리 상태",더 많이 대여소가 설치되어야 한다고 생각
"어플 끊김, 어플 메뉴 배치의 불편함",
지도(GPS);자전거 무게,
"어플 끊김, 어플 메뉴 배치의 불편함","자전거 도로 관리 미흡(강동, 광진쪽 도로 상황에 매우 불만 ex.자전거 도로 주차)"
대여 비밀번호 관련 불편함;자전거 관리 상태,
로그인의 불편함,"한강 쪽에 수요가 많다보니 자전거가 부족합니다. 어플 대신 인터넷 접속해서 사용하는데, 계속 로그인 되어있는 상태였으면 합니다.(인터넷 창을 닫지 않는데도 나중에 로그아웃 되어 있더라고요)"
"어플 끊김, 어플 메뉴 배치의 불편함",
대여 비밀번호 관련 불편함;대여 방식의 불편함,
지도(GPS);자전거 관리 상태,
로그인의 불편함;결제 수단의 부족,
결제 수단의 부족;반납 과정에서의 불편함;대여 방식의 불편함,
결제 수단의 부족;반납 과정에서의 불편함;자전거 관리 상태,
결제 수단의 부족;결제 과정의 불편함;대여 방식의 불편함,
대여 비밀번호 관련 불편함;자전거 관리 상태;대여 방식의 불편함,010-2204-4803
이용권 사용의 불편함;자전거 무게;대여 방식의 불편함,
선택 안함(불편 사항 없음),
대여 비밀번호 관련 불편함;자전거 관리 상태;대여 방식의 불편함,
결제 과정의 불편함;반납 과정에서의 불편함;자전거 관리 상태,"자전거 적절한 배치, 앱 오류 수정"
결제 수단의 부족;이용권 사용의 불편함,"결제 진짜 구림. 일레클,킥고잉 참고"
"어플 끊김, 어플 메뉴 배치의 불편함;이용권 사용의 불편함;반납 과정에서의 불편함",
대여 비밀번호 관련 불편함;자전거 무게;대여 방식의 불편함,
결제 수단의 부족;대여 비밀번호 관련 불편함;이용권 사용의 불편함,
"어플 끊김, 어플 메뉴 배치의 불편함;대여 비밀번호 관련 불편함;자전거 무게",
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;결제 수단의 부족",
"어플 끊김, 어플 메뉴 배치의 불편함",
"어플 끊김, 어플 메뉴 배치의 불편함;대여 비밀번호 관련 불편함;결제 과정의 불편함",
결제 수단의 부족;대여 비밀번호 관련 불편함;결제 과정의 불편함,"1. 결제 방식 : 이용시간이나 결제권 누르고 티머니로 결제하기 로 바꿧으면 좋겠습니다

2. 비밀번호 : 이용할때마다 까먹어서 .. 애먹고 있습니다 차라리 핸드폰 내에서 비밀번호나 지문 인증을 하는 것으로 바꾸면 더 편리할 것 같습니다"
로그인의 불편함,없습니당
"어플 끊김, 어플 메뉴 배치의 불편함;자전거 무게;반납 과정에서의 불편함",
불편사항 없음,
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;대여 방식의 불편함",
이용권 사용의 불편함;자전거 관리 상태,방배역에도 설치해주세요.
반납 과정에서의 불편함;자전거 관리 상태,
로그인의 불편함;이용권 사용의 불편함;대여 방식의 불편함,
로그인의 불편함;결제 과정의 불편함;자전거 관리 상태,가끔 반납이 잘 안될때가 있는데 개선되면 좋을 것 같습니다.
"어플 끊김, 어플 메뉴 배치의 불편함;자전거 무게",
"따릉이 배치 수 , 대여소 위치(대여 방식의 불편함)",
자전거 관리 상태,
결제 과정의 불편함;이용권 사용의 불편함;자전거 무게,
로그인의 불편함;대여 방식의 불편함,
불편사항 없음,자전거 사애가 안좋거나 그리고 배치 수가 가끔씩 불균형 이룰때가 있다.
결제 과정의 불편함,
불편사항 없음,"1. 버튼 인식이 잘되야 한다.
2. 추가 배치 요청이 신속해야 한다.
3. 자전거 체인, 바퀴 바람 확인"
불편사항 없음,
로그인의 불편함;자전거 관리 상태,ㅅㅈ이 바보
자전거 관리 상태,
자전거 관리 상태,
결제 수단의 부족;결제 과정의 불편함,
로그인의 불편함;반납 과정에서의 불편함;자전거 관리 상태,자전거 대수 충원
불편사항 없음,
결제 수단의 부족;결제 과정의 불편함,카카오페이
불편사항 없음,
결제 수단의 부족;결제 과정의 불편함;반납 과정에서의 불편함,
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함",
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함",
대여 비밀번호 관련 불편함;자전거 관리 상태,비밀번호오류
자전거 관리 상태,기어 상태 불량
결제 수단의 부족;자전거 관리 상태,"따릉이를 자주 이용하는 사람에게 공지 알람서비스 활성화가 되었으면 좋겠습니다. 예를들어 얼마전 태풍 때 이용하려했으나, 어플 들어가보니 이용불가라고 떠서 불편을 겪은 적이 있다."
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;자전거 관리 상태",
지도(GPS);로그인의 불편함,현금 시스템 도입 필요
결제 과정의 불편함;이용권 사용의 불편함,
로그인의 불편함;자전거 관리 상태;대여 방식의 불편함,
로그인의 불편함;자전거 관리 상태,
결제 수단의 부족;결제 과정의 불편함;대여 방식의 불편함,다양한 결제수단
로그인의 불편함;결제 과정의 불편함,
불편사항 없음,
"어플 끊김, 어플 메뉴 배치의 불편함",
불편사항 없음,
자전거 관리 상태,
지도(GPS);반납 과정에서의 불편함;자전거 관리 상태,
로그인의 불편함;대여 방식의 불편함;대여소별 자전거 수 조정(추가),
