,name,date,score,comment
555,JAY LEE,10/08/2017,5, 잘 쓰고있는데 평이 왜이런지... 솔직히 따릉이 불편하다고 하시는분들 그냥 쓸 줄 모르는겁니다. 찾아보려는 노력은 하지도않고.. 다만 아쉬운점은.. 카드 결제 시에 카드정보 저장해서 두고두고 쓸 수 있도록 했으면 더 좋았을거 같네요
902,신민재,13/08/2017,4," 강남구 수서, 세곡, 내곡동에 따릉이가 한 군데 밖에 없어요. 동에 두 군데 이상른 만들어 주세요. 그리고 해외에서 들어오는 자전거앱보다 훨 좋아요."
1024,이옥화,16/08/2017,5, 경로보기하니 설정에서 위치승인하라는데 승인해도 안됩니다
1075,Sean Yang,21/08/2017,4, Ux나 지도 시스템은 개선 필요성이 있지만 필요한 기능은 기본적으로 다 되서 사용할만은 하네요.
942,김훈,23/08/2017,2, 결제 됐다고 그래놓고 자꾸 미결제 내역으로 넘어간다. 결제 시간 되게 오래걸리고 결제오류 빈번함
1183,김범진,23/08/2017,3, 왜 앱이 작동을 하지 않죠?
1668,Google 사용자,23/08/2017,1, 들어가지질않음 계속오류뜸 ㅡㅡ
1402,정현호,25/08/2017,5, 좋네요
1064,HYUNJI KIM,02/09/2017,2, 아니 회원가입이안되요? 왜 휴대전화 인증 화면에서 화이트 페이지가 ㅡ.ㅡ???? 일시적인 오류인가요
627,Fire Down,03/09/2017,1, 아니 돈 내고 결제했는데 왜 대여번호 조회가 안 되냐? 버튼이 눌리지도 않네;;; 시간과 돈 낭비 딱 좋은 어플 추천 ^^
757,HyunGyu Park,03/09/2017,4, 좋은데 아직 메뉴구성이 좀 편리하지 못한부분이 있는것 같고 특히 지도 사용시 불편함이 좀 있어요. 내위치 버튼도 필요하고 축적 조절하는것도 대한민국 전체를 보여줄 필요는 없어 보입니다.
913,black pink,03/09/2017,1, 쓰래기 앱 가입할때 비번설정 4개만하게 해놓고 특수문자 영문 섞으라고 함
1328,스프,08/09/2017,2, 느려서 짜증남. 빌리다가 속 터지겠음.
559,Changyoung Kim,09/09/2017,1, 결제하다가 암걸리겠음...ㅠ 그냥 PG사 연동하시지.... 그리고 로고같은 이미지는 사이즈 3배로 올리셔야 모바일에서 픽셀 안 깨져요...ㅠ 공공기관발주는 최소 2년 이상 개발한 사람한테 맡겨야지....
1128,박찬경,09/09/2017,1, 대학생이 취미로 만들어도 이것보단 잘 만들 듯.
558,bburi bburi,10/09/2017,1, 아니...어플누가 관리하고 만든건지....최악이네요..비회원으로 로그인하는데 비번을치라는게 말이됩니까 애초에 비회원 구매내역으로 가라고 표기를 하던지..또 결제하려니까 에러메시지 계속 뜨고 진짜 쓰레기네 국민들상대로 하는 어플이면 신경도쓰세요
658,김현민,10/09/2017,1, 결제오류가 계속 떠서 이용 포기합니다. 기본적으로 사용자 경험도 고려안한 구린 ux에 끊임없는 앱오류도 해결못하실거면 때려치고 민간으로 넘기세요. 세금 아까워요.
524,yi_seul hi,14/09/2017,3, 편리하게 사용할수는 있지만 생각보다 많은곳에 있지 않고 반납 문자가 올거면 빨리 왔으면 좋겠다. 깜빡하고 잠금을 안한체 집에 왔는데 4시간 뒤에 문자가옴. 반납문자가 시간초과 30분마다 왔으면 좋겠음. 지금 초과요금 7000원 내야함.
1016,뚜뚜바바,15/09/2017,2, 자전거 대여해서 잘쓰는데 앱이 결제단계에서 오류나면 답이 없다 결재 대기만 하라고 하고 신용카드 핸드폰 결재 둘다 안됨
1306,김하키,15/09/2017,1, 결제가 잘 안되네요..거지같아요
1390,한승일,15/09/2017,1, 세금
708,박장호,16/09/2017,1, 오류가너무심해요 초과금액자동결재수단 변경 실패했는데 500원은 나가고 다시들어오질않네요 참 찝찝하게ㅡㅡ
1233,H.G Moon,16/09/2017,1, 앱 실행이 너무 답답함...
1708,카카오 스타일,16/09/2017,5, 완전좋아
775,Ryang Sim,18/09/2017,1, 비회원로그인이 있는데 로그인을 할 수 없는건지 설명도없고 등록도 되지 않는것 같네요. 앱을 끄려고하는데 종료버튼이 있는것도 아니고 뒤로가기로 종료도 안되는 어이없는상황ㅎㅎ 정부나 시에서 진행하는 사이트나 어플이나 적당히좀 해먹읍시다. 사람들이 하나같이  양심이 없네요ㅡㅡ 그라고 인도에서 자전거타는거 불법인데 자전거 도로도 잘 되어있지 않은 기획이 참신하네요....
692,Sujin Kim,20/09/2017,1, 폰결제 실패 모바일교통카드결제 실패 후 신용카드로 하려다가 요구하는정보 겁나많아서 포기하고 걸어갑니다. 앱 겁나 쓰레기로 만들어놨네요.
1078,최게데스,20/09/2017,1, 아이디.비밀번호  찾는거에 시간낭비했넹
528,Youngjun Park,21/09/2017,1, 가입 후에 로그인도 안되고 아이디 찾기 하면 아이디 있다고 하는데 비번찾기 하면 뜨지도 않고 고객센터는 응대 인원이 1명 뿐인가... 운영시간인데 3번 전화걸어도 응대중이라고 뜨고... 답답하네요. 앱 관리도 제대로 못하고. 아이디 오류나서 비회원으로 이용권 구매하려고 하면 회원가입하서 또 안된다고 난리. 불만사항 보고 피드백은 되는건지 의심스럽네요.
1139,hr j,23/09/2017,1, 이거 결제가 넘 복잡해요
1169,sh l,23/09/2017,2, 큐알코드 인식되지도않네요 ㅎ
656,Sunghee Hong,25/09/2017,1, 회원가입하려는데 비밀번호를 4자리로 하라는 정보랑 다르게 팝업창은 8자리 이상 하라는데요 ㅜ 뭐져? 빨리 해결해주세요
1378,Duoyong P,26/09/2017,5, 열심히 탔으면 좋겠네요 제가.
1617,장창학,26/09/2017,1, 굉장히 좋은 서비스를 앱이 망치고 있음. 검색이 안되고 구단위로 찾아보는거 엄청 불편합니다. 그리고 앱기능에 비해 설치용량과 권한요구가 지나치게 많고 완성도도 역시 행정기관작품답게 디자인적으로나 사용성에서 아주 안좋습니다. 뭐 담당 공무원께서야 적은 예산으로 개발업체의 제안대로만 평가하고 만들었으리라 봅니다.
1650,갑툭튀,29/09/2017,1, 따릉이를 사람들이 많이 쓰는 만큼 전검도 많이 해야지 뭐하자는건데 아니 따릉이 빌리고 타니깐 체익이 망가져서 안달리고 10분거리의 따릉이 다시 빌리고 빼려고 하니깐 안 빠지고 그 옆에있는거 할려고 했는데 스크린이 인식이 안돼고   보니깐 ㄸ릉이 점검도 대충하더만 에휴 ㅉㅉ 나라 세금으로 이딴걸 만들면 뭐함  고철 덩어리 자전거인데
691,NNI BIN,30/09/2017,1, 정말 속상합니다. 결제창에 오류가 뜨길래 결제가 안 된 줄 알았더니 2번이나 결제가 된 상태더군요 그래서 이용권이 구매 된 줄 알았더니 하루가 지나도 구매된 이용권이 없다고 뜨네요 ㅋㅋㅋㅋ 제 돈 어떡하실 거에요ㅜㅜㅜㅜㅜㅜㅜ 돈 환불해주세오ㅠㅜㅜㅜㅜㅜ
704,Google 사용자,03/10/2017,1, 경기도 피프틴보고 배우세여 자전거도 별로구 절차도  마니 복잡하고 대여소도 마니 없고 요즘 서울시에서 하는 일이 서툴고 엉망이네여
684,조용히하세요,04/10/2017,1, 회원가입을 하려면 휴대폰 인증을 하라는데 휴대폰 인증을 누르면 흰색 빈창만 뜨고 아무것도 없네요 오레오로 업뎃해서 그런건지.. 아예 사용이 불가능해요
698,김두일,04/10/2017,1, 결제창이 안됨 노이해  시에 내는 나의 지방세가 무쵹 아까움  앱의 와꾸보다 기본부터 다시 살펴보길 추석날 개짜증남
764,김베어스,04/10/2017,2, 만 15세이성인데 남녀노소 누구나된다는건 뭔가 말이 안맞지않나요? 남녀노소는 누구나 다얘기하는데 만15세미만은 사람이아닌가요?
1319,Jungsoo Park,04/10/2017,2, 결제오류가 심하네 빨리 개선바람
512,띠리띠리띠로리로,05/10/2017,1, 아니 오늘 서울 가서 자전거 타는데 지금 자전거 빌리는데만 1시간이 걸렸음. 분명히 1시 30분에 갔는데 4시에 집에 옴. 지금 보니까 결제 안돼서 데이터 다 씀.  이거 어쩌실건가요? 이앱 만드실거면 한번에 제대로 만드는게 나은듯 하네요
1373,조헬,07/10/2017,1, 걍 쓰레기
781,Cake So,08/10/2017,1, 진짜 별로 아예 빌릴 수도 없었음 계속 오류나고 최악 별 1개도 아까움
1356,Migyeong Park,08/10/2017,3, 대여방법좀 간단했으면 좋겠음...
1098,이지수,09/10/2017,2, 지도에서 현위치 확인좀 가능하게 해주세요 제발..
1380,오재옥,09/10/2017,4, 자전거도로망
1231,만리,10/10/2017,1, 진짜 너무하네... 다운 받은면서 쓴 내 데이터조차 아깝네
536,Google 사용자,11/10/2017,2, 개선할게 너무많아서... 그중 거장 중요한건 지도개선 부탁합니다. 다른 지도나 네비게이션 앱처럼 지도를 모두 다운받는 기능 필요해요. 너무 버벅대고 지도보기 어렵습니다.  제 폰의 지도와 네비앱중 데이터사용 1위예요.
931,미나물,11/10/2017,1," 시민의로서 의견을 반영하지 않는 공공앱의 횡포,앱의 존재가 의심스러워지는 실효성"
548,김효진,12/10/2017,1, 오늘 타고 가보려고 어플깔고 회원가입해서 티머니 결제하는데 페이코에서 돈은 나가고 이용권은 결제 실패해서 안들어온다하고 뭔가요? 아니 실패했다길래 4번 시도했는데 4천원은 나가고 이용권은 하나도 안들어왔어요. 애초에 일일 이용권 하나만 사려했는데 심지어 돈만 4천원 나갔습니다. 빠른 환불부탁드립니다.
917,율,12/10/2017,2," 자주애용하는데,빌릴수있는 번호떠서 예약하고가면 화면이안뜨고 먹통일때가 많았어요. 근데 오늘 반납할때도 반납키꽂고 아무소리가 안나고 반납완료문자도안오길래 혹시나해서 증거동영상 찍어놓고 따릉이 상담업무시간이  아니라며 120번에 연결된다해서 10분이상을 대기하는데 120측에서 끊는건지 세네번을 시도했는데 대기시간무색하게 끊네요. 매우 편리하게 이용하는데 시스템오류로 대여와 반납처리가 원활하지않아서 불편하고 불쾌하게되는점이 매우 불만입니다"
1145,김고운,13/10/2017,3, 고장 신고 들어온 자전거 표시좀 해주세요.... 가보면 고장나있어요
1171,안민용,15/10/2017,4, 자전거 상태 관리 해야하지 말입니다
695,이지훈,16/10/2017,1," 지금까지 써본 앱, 공공서비스 중 제일 거지 같다. 이만큼 처참하게 실패한 서비스를 개선할 생각은 있는지 궁금하다."
848,박정선,18/10/2017,1, 회사근처에서 7분잠깐타고 분명히 잠금장치걸고 왔는데ㅠ 1시간뒤에 반납이 정상적으로 안되었다고문자와요ㅠ11시넘어서 고개센터도 연결이 안되고 일단시간이늦어 잠은자야되는데 문자는계속오고 ㅠ거기가는택시비가 만원이 넘으니 일단 낼아침에 출근뒤에 보러가야되겠어요ㅠ
613,Seung Hwan Lee,19/10/2017,1," 운좋게 오류가 없을 뿐이지, 대부분의 사람들이 각종 오류에 시달리는구만... 무슨 알아보질 않았다고 그러는지... 결제 좀 하자"
1191,박하사탕,20/10/2017,5, 정말 좋았어요^^ 다만 gps를 키면 바로 가까운 대여소의 위치를 알려주는 기능도 있었으면 해요!
1144,김예슬,21/10/2017,5, 너무너무 좋아요. 결제도 쉽고 대여소 찾는 것도 쉽고 정기권 끊어서 타고있어요. 이거 덕분에 자전거 많이 타고있어요!! 감사합니다~
1006,흠칫뿌붕,22/10/2017,1, 진심 최악 프로그램 하고 자전거하고 시스템 안맞음 돈날림
1028,이완,23/10/2017,1, 간만에 새벽시간 나서 운동좀 하려고 가입했더니 아이디 비번이 틀리다고 하고 비번을 찾으려고 하면 회원정보가 등록되지 않았다고 하고 비회원 구매하려니 회원이시면 로그인 하라고하고 무한반복 개노가다 시키네 전산담당자 뇌는 우동 사리로 만들었나 간단한 회원가입하나 처리 똑바로 못해서 이리 불편을 주네ㅋ 머저리같은 담당자 공무원들 철밥통 뻔하지 대충대충 발뻗고 잠이오나 모르겠다 퉷
542,Kim Chiyun,24/10/2017,4, 이름이 좋네요. 5가지만 수정하시면 좋겠습니다. 1. 회원가입시 카카오나 구글 계정 연동 2. 우편번호 검색시 모바일웹 페이지로 연동 3. 가입완료후 홈버튼 달기 4. 구동속도 개선  5. 회원가입 항몬 최소화
740,MALICE,24/10/2017,1, 아니 신용카드근 휴대폰이든 숫자를 입력하는게 안됩니다... 기본적인 기능조차 이러면 어떡하나요ㅡㅡ
1295,Michelle choi,24/10/2017,5, 내 세금 잘 써주는 서울시야 고마워~♥
773,김원학,25/10/2017,2, 결제카드 정보 저장 기능 좀 넣어주세요 매번 카드번호 입력하기 너무 힘드네요 그리고 결제 후 창이 닫히지 않는 버그도 빨리 고쳐주세요 교통카드 등록 기능은 정상 동작하지 않을때도 많고 왜 있는지도 잘 모르겠네요
1675,Derek Hong,27/10/2017,1, 따릉이 앱을 통해 가입이 되질 않음 뭔 인증화면에서 넘어가질 않음??
1305,red through,28/10/2017,1, 쓰레기가 너무 많이 받으세요 있다 있다 있다
1635,Youngil Shin,28/10/2017,1, g3에서 결제에러만 뜨고 잔차지도 안나옴. 고객센터에 에러대처할 방법도 없고 개선할 생각이 없어 보이는 앱 누가 만들었나?
669,seung hoon son,29/10/2017,1, 대여가능이라고 해서 벌써4군데 허탕이다 실시간이 안되면 새로고침은 뭐하는 기능이냐? 아주 철밥통이다 이거지
1631,1 1,29/10/2017,1," 비번 바꾸려고 임시비밀번호가 문자로 왔음. 임시비밀번호는 NYmP$Js!였음. 대충 단순한 숫자 6자리 정도로 해주면 되는데, 이게 무슨 국가보안이 걸린 것도 아닌데, 이렇게까지 할 필요가 있나 싶음.  국민들이 낸 세금으로 이렇게까지 대충 만드는 공무원들 시말서 써야 함. 따릉이 앱보다 사설앱이 더 평가도 높은데, 왜인지 잘 생각하고 개선하기 바람. 마지막으로 역시 이런 책상앞에서 일하는 부장 과장급 공무원들은 자기 돈 아니고, 밑에 직원들 시키면 되니까 아주 편하겠지."
655,레인마크,31/10/2017,2, 가격도 저렴하고 사용하기도 쉬워서 별5개 주고 싶지만 어플 환경이 너무 안좋아서 별 2개 드립니다. 인터넷이 조금만 느려도 앱 로딩조차 버거운데 무슨 공지 하나 뜨면 그날은 따릉이 사용 못한다고 보시면 되요. 위젯을 만들던지 접근성만 조금 높이면 별5개도 아깝지 않을것 같습니다.
557,leehj5029,02/11/2017,1," 박원순씨, 그만 합시다. 더불어민주당도 문대통령도 좋아하는데. 시장님의 정책과 행사 등등을 알면 알아갈수록 허점이 많아지네요. 아쉽습니다."
762,Juyoun Jo,14/11/2017,1, 아니 왜 이용권 구매가 안 되는 거에요? 네트워크 연결 멀쩡히 되어 있는데 오류라고 하면서 말이에요.
787,Google 사용자,14/11/2017,3, 결제할때마다 카드정보를 입력해야 해서 번거롭습니다. 이것때문에 대여하기를 망설이게 되네요. 일반적으로  카드결제에 자주 사용되는 ISP 앱과 연동해주셨으면 좋겠습니다
532,김현석,23/11/2017,1, 희대의 쓰레기 어플과 무능 서울시의 콜라보. 처음 결제할 때는 비밀번호 4자리 입력하고 간편하게 빌렸는데 두 번째 할때는 있지도 않은 대여카드 쳐 대라도함.   덕분에 지각 잘 했수다. 언론에서 이 문제가지고 이슈화되면 내 덕분인줄 아쇼.
1397,Sam Kim,24/11/2017,5, 아주 좋아요
1357,전동호,27/11/2017,5, 왜들 악플을 남기지? 되게 좋고 되게 싼데...
630,Green Shark,07/12/2017,2," 따릉이 제도 자체는 매우 좋아하지만, 앱이 너무 쓰레기라 별두개 드립니다. 저도 앱개발 하지만, 이런 성의없는 웹앱은 오랜만이네요."
1148,Lee SeungJae,18/12/2017,5, 잘 사용하고 있습니다. 계속 사용성을 개발하면 더욱 좋을 것 같습니다. 서비스를 계속 이어가면 좋겠습니다. ^^
560,권팀,19/12/2017,1," 어플자체도 누가만든건지 너무 대충 만들었고, 어플도 문젠데 자전거 대여 시스템도 문제가 많음. 자전거 꺼내다가 실수로 툭치면 반납이라니 이게 말이나 되는지... 거기에다가 반납했다가 다시 사용하려면 대여절차를 또 밟아야함.대여하려면 또 다시 어플로 절차를 밟아야하는데 여기에서 쓰레기 어플에 암걸리는건 물론이요 데이터요금제가 아닌 사람은 와이파이가 안 통하는 곳에선 아예 재대여 시도조차도 못함. 취지는 좋은데 너무 관리를 못하는듯."
673,TT Yoon,26/12/2017,3, 정말 좋은 정책을 가지고 관리를 똥으로하네요ㅡㅡ.. 어플 지도는 언제부턴가 나오지도 않네요. 적자가 심해서 폐지한다는 논란도 있는걸로 들었는데 시민들에게 제공되는 복지를 손익의 관점에서 보는건 완전 후진국 마인드죠
1113,제피로스,07/01/2018,1, 앱 자체가 정말 쓰레기. 이거 만든업체랑 선정한 놈 잡아서 조사해라. 이게 앱이냐? 결제는 됬는데 대여권 없다고 매일 뜨냐..
1119,김성철,08/01/2018,1, 앱이  너무 느려요  속  터져서 그만둠
738,Doosan Kang,27/01/2018,5, 따릉이 잘쓰고있습니다.  고장신고도 그렇고 간단하지만 편리한 기능이 많네요.  서울시 따릉이의 많은 발전 기대 하겠습니다.
1364,한규호,13/02/2018,3, 앱만 제대로 수정하면 좋아질듯
1341,too 사이렌스,18/02/2018,1, 서울시 정신 안 차리냐?
1388,Joy Happy,07/03/2018,5, 대한민국 최고의 실생활자전거
894,홍진복,09/03/2018,5, 일주일에 다섯번은 사용하는 어플이네요! 다름이아니라 종로3가역에 설치부탁드려요 젭알요ㅠㅠ
882,김상준,17/03/2018,2, 로그인조차도 안되는데 어떻게하라는 건가여 진짜 이해가 안가긴한데 사용을하고 싶어도 안되니짜증나네여
1104,ffrzen expprt,17/03/2018,1, 세금 낭비하고있다는걸 알려주는 앱
932,김슬비,22/03/2018,4, 고장신고접수된 따릉이는 표기가 됐으면 좋겠습니다. 대여 예약해놓고 왔는데 고장났다고 대여가 안되네요
1091,김민혁,22/03/2018,5, 난 좋던데? 미리 어플로 결제해놓고 원하는 시간에 픽하고 끝나고 반납하고 알림문자도 잘오고!!추천한다
835,Google 사용자,28/03/2018,4," 대여소 지도로 볼때 gps 신호로 내위치 잡아줬으면 좋겠어요. 매번 서울역, 시청 이 먼저뜨고 버벅거리는데 내위치까지 끌고가야되서 불편합니다"
595,e.h Lee,31/03/2018,1, 아니 일일권은 왜 환불이 안되죠?? 처음에 프리미엄구매하려다가 연결끊겨서 나갔다들어와서 실수로 일반구매했는데 프리미엄으로 교환도 안되고 환불도 안되네요  일일권은 환불안되게 해둔이유라도있나요; 아무리 그래도 프리미엄으로 교환은하게해줘야되는거아닌가요;?
1277,강동현,01/04/2018,1," 카드 등록을 할라면 대여소 선택을 해야 하는데, 대여소 선택을 할라면 선불 결제를 해야함...???"
1350,호희,01/04/2018,1, 래알 핵망앱
529,Eric,02/04/2018,1, 이용중인 요금제가 없는데도 계속 있다면서 대여가 안되네요. 버그 많고 로딩 무척 느리고 결제때마다 신용카드 정보 새로 입력해야하고 이럴거면 왜 앱으로 대여하도록 해놨나요? 정말 발암앱이네요.
1377,김미정,02/04/2018,5, 좋으다
518,장혜진,04/04/2018,4, 그전 폰에서는 빠르고 잘 됐는데 겨울이라 4개월 정도 자전거 안탔고 다시 결제해서 타기 시작했어요. 근데 잘되던 앱이 안됩니다. 대여소에서 구를 선택하면 그 다음부터 안움직여요. 주변 대여소를 알아야 반납을 할텐데요. ..인터넷문제인가 했는데 그것도 아니구요. 폰도 오히려 이게 더 좋은폰인데 그동안에 앱이 느려진건가요....? 껐다 켰다 하기 힘드네요. 아는데 가면야 괜찮지만 모르는데 가면 반납 어케해요
1106,정명사상,08/04/2018,1, 운용도 안되는 어플을 왜만들었나 싶네여
544,고난,10/04/2018,3, 3g 무제한 요금제를 쓰고 있는데 3g로 앱에 로그인할때 심각하게 오래걸립니다. 실행이 안 되는 수준이라 와이파이 있는 곳에서 로그인을 하고 나가야 합니다.  아무리 3g래도 이미지가 많은 쇼핑몰 앱이 아닌 이상 이정도로 오래 걸리지 않는데 이 앱은 좀 심각하네요 개선부탁드립니다. 따릉이 서비스 자체는 매우 좋습니다.
874,Google 사용자,11/04/2018,1," 이앱 활용되는거 맞나요? 어제 다운받아 이용해볼려는데, 다운되고 사용이 넘 힘든데요? 자전거 있는지 현황 종 파악할려고 들어감 
실시간조회를 할수가없어요!"
886,seunghoon lee,15/04/2018,1, 최악. 결국1시간 씨름하다 못빌림. 통신에 장애가 있단말만 백번 들은듯. 이딴거에 세금 쓴거생각하면분통터진다
910,김보경,15/04/2018,1, 통신장애만 삼십분... 7대 시도해보고 고객센터 연결만 다섯번 다 실패해서 집들어갑니다.  결제한 이용권 환불되는 것 맞죠? 다신 사용 안할듯합니다;
