,user_name,date,rating,thumbs_up,review_text
22,SoulFree,2019년 9월 29일,3,1,잘 이용중인데... 갯수 오류가 있어요.. 정류장에 1대 남아있길래 뛰어서 가보니까 텅텅 비어있고 어플에는 아직도 1개 남아있다고뜨고... 다른 곳도 가보니까 비어있고... 남아있다고 표시되있어요.. 오류좀 고쳐주세요
23,hayeon,2019년 9월 29일,1,11,뭐 누르기만 해도 앱이 계속 로그아웃되고 네이버로그인을 해봤자 어차피 여기 가입을 해야 사용가능. 계속 로그인 시키려면 가입하고 비번도 새로 만들어야 버튼하나 누를때마다 로그아웃되는 사태를 방지할수있음. 네이버 카카오 로그인을 왜 만든건지 1도 이해안됨.
24,Luis sy park,2019년 9월 29일,5,1,"너무 좋아요 . 정말 유용하게 잘 사용 하고있음 그런데 많은 자전거가 다 어디로 사라 졌나요 ? 반납 장소에 1-2개만 , 항상 있어요 밤 12-1시에도 많은 곳이 비어 있음 ! 관리를 좀더 잘 해야 될것 같아요 . 이상해요 😂"
25,SungYeol Kim,2019년 9월 29일,1,1,자전거 없음 ... 불만 얘기해도 자기들 답변하기 편한것만 답하고 일주일째 대꾸도 없음. 앱도 후짐
26,사람유튜브보는,2019년 9월 28일,2,1,어플이 정말 불편하네요. 아이폰에서는 딜레이도 생기는데다가 교통카드 등록없이 사용못한다는 걸 고지하지 않다니요. 스크롤바만 내리면 다인가요; 다른데는 알림 창으로 띄워줘요. 체크후 건너뛸수 잇도록 한다고요. 그리고 도중 연장이 안되는 이유는 뭐죠? 왜 반납을 하고 재대여를 해야하는지 이해가 안가네요.
27,날다람쥐,2019년 9월 28일,1,1,최악 잠금장치 안빠져서 쓰지도 못햇는데 사용하고 반납된것처럼됨 120 전화하니 시민님 잘못이라 환불안된단다 이게 왜 내잘못이냐???
28,김의중,2019년 9월 28일,1,1,앱설치가 안되요. 무슨문제있나여?
29,임제나,2019년 9월 28일,1,4,어플 잘 못 만들겠으면 외주를 주시죠 따릉이 단점 1. 로그인 불편하게해놓음 매번 인증하고 카톡에서 눌러서 들어가야함 로그인 설정 유지는 되지도 않는데 왜있는거임? 2. 결제 겁나 불편하게해놓음 삼성페이랑 교통카드 결제도 추가좀 해줘라 3. 앱 전반적 구성이 심플하지 않고 직관적이지가 않음 설명도 제대로 안되어있고 검색시스템도 구림 4. 많은 이용자들이 연결거치를 어려워하고 푸는건 더 어려워하는데 어디에도 설명이 똑바로 안되어있음 5. 실제 있는 자전거랑 앱이랑 안맞는 경우 허다함
30,min ye choi,2019년 9월 27일,1,1,아주 쓰레기를 만들어 났네
31,KEN YES I,2019년 9월 27일,1,1,요새 자전거관리 진짜 쓰레기같이하네 대여 안돼 체인빠져 핸들은 돌아나서 삐꾸고 걍 접어 능력없으면
32,S Kim,2019년 9월 26일,1,1,정기권 카카오페이로 결제하려고 결제하기 버튼을 눌러도 버튼 색만 바뀌고 아무 반응이 없네요 ㅠㅠ 다른 옵션도 마찬가지로 결제가 안되요...
33,백민준,2019년 9월 26일,1,2,로그인좀 수정좀 합시다? 자동로수인 안되고 맨날 로그인하고 결제오류 뭐든 오류가 삼박자를 갖추네 서울자전거같은 소리하지말고 업데이트좀 합시다 ㅡㅡ
34,알 수 없는 사용자,2019년 9월 25일,5,0,저는 전국에 다 있는줄 알았는데 서울시에만 있는거였나요?? 아쉽다ㅠㅠ 그래도 서울에 이런 서비스 내주셔서 감사해요! 환경오염도 덜되고 운동도 되게 자전거 이용 장려하는 정책 좋네요ㅎㅎㅎ 평소에 자전거 타고 다니기 좋아해서 이런거 내주신거 아이디어 좋은거같아요ㅎㅎ
35,K IN,2019년 9월 24일,1,1,로그인 안풀리게 안되나여? 매번 로그인짜증남
36,YUAN JIA LI,2019년 9월 24일,2,1,만들자신이 없으면 API 전면개방하고 공식앱을 없애자 제발
37,백유미,2019년 9월 24일,3,1,어디 이동할때 편리하게 사용하고 있습니다 단지 거치대에 있는 자전거중 절반은 고장난것들이네요
38,Hyunsuk Lee,2019년 9월 23일,1,1,따릉이 이용할려고 하는데 앱버전체크 오류가 수십번 무한반복뜸
39,팩쁘뤨띡똑,2019년 9월 23일,1,1,방금 정기권 결제했는데 안된다네 빨리고쳐라
40,장동훈,2019년 9월 23일,2,1,뫤? 앱 업뎃으로 안켜질까요? ㅜ
41,클립,2019년 9월 23일,1,1,아니 앱버전 체크는 먼소리야 사용은하게끔 업데이트해야할꺼아냐
42,신혜영,2019년 9월 23일,1,1,앱이계속오류나서안열려요
43,오종찬,2019년 9월 23일,4,0,굿
44,신아현,2019년 9월 23일,2,4,1. 로그인 화면에서 자동 로그인 체크하고 재로그인하면 이상한 비번이 저장되서 자동 로그인이 안돼요 2. 1이 안되서 SNS 로그인으로 하는데 네이버 자동로그인이 안되서 따릉이 쓸때마다 네이버 재로그인함 3. 결제가 핸드폰 결제밖에 안됨 ** 수정좀 해주세요
45,손태현,2019년 9월 23일,1,1,정기권 구매하고 이용자인데 비번풀고 잠금장치 해제하려고 하는데 안빠지네 무슨일일까? 잠금장치좀 잘 풀리게좀 해줘봐요 잠금장치만 하루에 수십번도 풀어재끼네 장난하나
46,complete happy,2019년 9월 22일,1,1,돈은 돈대로 썼을텐데 왜 항상 지자체나 관공서앱은 왜 항상 개 허접한 수준을 못 벗어나냐 하청받은 인간들도 돈받았음 이렇게 만들면 안되지.
47,Ha JoWoo,2019년 9월 22일,1,42,"이용할수록 화가나는 앱. 시스템에 대한 이해도가 최악. 네이버로 이미 회원 가입했는데, 다시 로그인 하려니 있는 전화번호라면서 로그인 안됨. 1시간을 길에서 낭비하고, 앱업체 선정에 비리 있는지 정말 궁금. 세금 아무한테나 펑펑 쓰면 안돼죠."
48,송보민,2019년 9월 21일,1,1,지도도 이상하고 선물을 보내도 오질 않네요 쓰지마세요 이딴앱
49,이원상,2019년 9월 21일,1,1,병*어플 *신어플
50,박상준,2019년 9월 21일,3,1,갤럭시s8 지도화면으로 넘어가지 않습니다 확인 부탁 드립니다
51,김김,2019년 9월 21일,1,2,아니 일단 별로인게 많음. 카톡 자동로그인 안됨 대여소번호로 찾을때 지혼자 대여소이름까지 자동입력된다음 안찾고 안나옴. 그냥 싼맛에 쓰는듯
52,최영일,2019년 9월 20일,1,3,"1시간 이용권 환불>2시간 이용권 결제 후 거치대의 QR코드 스캔시 계속 오류가 나고 있습니다. 1시간 이용권이 아직 환불되지 않아서인지 잘 모르겠는데, 아무튼 즉시 이용이 안되서 걸어감......"
53,EH K,2019년 9월 20일,4,11,정기권으로 쓰고있는데 잘 사용하고있어요 기본적인 기능은 갖춰져있습니다 서울내에 이런 서비스가 있어서 너무 좋아요 1.다만 카드정보 저장이나 페이코 앱연동으로 결제 편리성이 높아지면 좋겠어요 매번 카드정보를 입력하는건 너무 불편해요 2.그리고 고장나거나 상태가 안좋은 자전거를 앱으로 신고가 가능하면 좋을것 같아요
54,Josh Charles,2019년 9월 20일,1,2,중학생 공모전으로 만들었냐? 결제오류 부터 인터페이스 로그인 부터 다 팅긴다. 수준떨어지는 국가어플
55,김선규,2019년 9월 19일,1,1,진짜 화나게 하네 로그인이 안되잖아여 ㅋ 아니 ㅋ 계속 쳐도 안되길래 비밀번호 까먹은줄알고 임시 비밀벙호 받았는데도 뭔 말도안되는 말 나오고 안되네 ㅋ 개ㅐㅐㅐㅐ화난다 개선좀 부턱드려요
56,Minkyu Kim,2019년 9월 19일,1,7,혹시 정기권 구매하려는 분들 다시 생각해보세요. 따릉이는 이제 수명 다했습니다. 거치대에 자전거 십수대 있어도 죄다 고장에 체인빠지고 버튼 안눌리거나 대여과정 다 거쳐도 잠금장치 안빠져서 대여 가능한건 극히 일부에 불과합니다. 이에 대해 어플 내에서 피드백을 해도 아무 개선이 없습니다. 개선이 필요한데 그런 움직임은 전혀 보이지 않아요. 불과 한 달 전만 해도 이러지않았는데 최근들어 자전거 상태가 급격히 안좋아져 사용 불가능할 정도입니다.
57,황수영,2019년 9월 19일,3,2,따릉이 너무좋은데 카톡 자동로그인이안되요.. 이것좀 제발고쳐주세요 매일매일 로그인하기시러요ㅠ 메일다써야하고 너무귀찮습니다ㅜ
58,jinah kim,2019년 9월 19일,1,2,"앱 정말 구림, 결제 할때마다 잘 안되서 속터짐"
59,wj kim,2019년 9월 18일,1,2,결제안된다구요.. 무슨 이용권 구매 안정화입니까 대체 결제 자체가 아예 안됩니다. 카카오페이며 신용체크카드 결제도;;;
60,김연진,2019년 9월 18일,5,0,자전거 도로가 마땅치 않지만 그래도 아주 잘 이용하고 있습니다!! 감사합니다~!
61,고기태,2019년 9월 17일,4,0,나쁘지 않아요 근데 개인별기록같은거 볼수있었으면 좋겠어요 내가 얼마나 탔고 한달기록 일년기록등등 스트라바연동도 괜찮고 뭐 거기까지 기대는 안해요ㅋㅋ
62,EunJung Noh,2019년 9월 17일,1,1,"이게 교통용 어플인가요ㅡㅡ 네이버로그인 유지도안되서 맨날 새로 로그인해야되고, 로그인안되는위치라고 매번 떠서 전화번호 인증해야되고. 어플너무느려터져서 앞에둔 자전거 남들한테 뺏기기 일쑤ㅋㅋ 로그인 유지에 한번 클릭했다가 영원히 핸드폰 멈출뻔ㅡㅡ 저 핸드폰산지1달도안된건데 폰때문은 아닌듯하고 어플이 진짜 말도안되게 구립니다. 방금도 어플 에러때매 출근못할뻔ㅡㅡ 걍 지하철타러 돌아나왔네요 지각삘인데 이게 무슨짓인지모르겠음"
63,MF고스트,2019년 9월 17일,1,3,진짜 새벽에 사용하다가 쌍욕 나오게 만드네. 만들려면 제대로 만들던가 오류도 개심하고 반납도 안되고 그냥 아주 난리다 난리
64,Jin-young Park,2019년 9월 16일,5,0,오늘 첫 사용인데 쉽게 사용할 수 있어 좋습니다
65,조윤서,2019년 9월 16일,1,2,이용권 결제를 해야 되는데 결제창으로 안넘어가서 이용을 못하고 있어요ㅡㅡ
66,권진구,2019년 9월 16일,1,1,대체 이런 이용절차는 누구 머리에서 나온건가요? 결제도 어렵고 정기권을 사서 그 시간만 이용된다니 또 비밀번호입력은 무엇이며. 제발 경기도에가서 배우세요
67,김경숙,2019년 9월 16일,1,3,비회원으로 진행 할 때 열번 중 아홉번은 결제 에러로 자전거 한 번 빌리는데 기본 30분이 넘게 걸림. 자전거 빌리는데 무조건 앱을 깔도록 만들어 놓은 것도 사용다 편의를 무시한 처사. 따릉이 생기기 전 기존 서울시 공유자전거가 더 편함
68,조덕배,2019년 9월 15일,1,1,진짜 너무 불편해요 어플에 신경좀 써주세요
69,박요한,2019년 9월 15일,1,1,하하 죽이고 싶어요 ^^
70,hyuntae yoon,2019년 9월 14일,2,2,오늘 처음 사용했는데 직관적으로 알기쉽게 앱을 업데이트 하면 좋겠습니다 대대적인 업데이트 해야 합니다. 자전거는 좋습니다. 정말 서울의 자랑이 되면 좋겠습니다
71,릅삼용섬학과삼육대,2019년 9월 14일,1,2,처음에 회원가입 할 때는 본인인증 문자 안보내고 한참 있다가 가입해서 카카오 연동했더니 왜 로그인 유지 기능이 안되나요? 쓸때마다 카톡 인증하고 로그인 매번 다시하고 너무 불편하네요
72,SJ K,2019년 9월 14일,1,4,따릉이 시스템은 좋은데 앱이 좀... 카카오페이는 결제할때마다 오류 일으키고 로그인 저장 해놔도 들어갈때마다 다시 로그인해야됨 몇번 반복하다보면 짜증남
73,제이비,2019년 9월 13일,1,1,너무 사용하기 불변합니다..
74,서우문,2019년 9월 13일,4,0,편합니다~
75,heeyoon lee,2019년 9월 13일,1,2,왜 로그인이 안되니..화면왜 깜빡거리니.. 누가만들었니..관리안하니..
76,노력하는도전자,2019년 9월 13일,1,1,솔직히 이 앱은 쓸 일이 없음 그냥 브로커 같은 존재거든 따릉이 타기 위한
77,지석,2019년 9월 12일,1,1,야발련아
78,천영두,2019년 9월 11일,5,0,최고다
79,John Kim,2019년 9월 11일,5,0,굿
80,Duho Lee,2019년 9월 11일,1,2,결재가 안되요 네트워크 연결안된단.ㄴ 개소리를...
81,soyi Ha,2019년 9월 11일,1,1,자꾸 로그아웃되서 불편해요 어떻게 해야될까요?
82,Jongwon Lee,2019년 9월 9일,1,2,2019년에 이런 품질의 앱 만들기도 쉽지 않을텐데.. 2009년 품질입니다.
83,구구까더,2019년 9월 9일,1,1,급하게 사용해야하는데 자꾸 꺼져서 화나네요
84,최강지,2019년 9월 9일,1,1,따릉이어플실행이안됩니다 삭제하고 다시깔라했는데 이젠 다운로드도안됩니다
85,KyeongSeok Jang,2019년 9월 9일,1,1,앱 완성도가 너무 쓰레기.
86,임우혁,2019년 9월 9일,1,1,못만든 앱
87,코알라,2019년 9월 9일,5,0,따릉이 너무 좋아요 늘 잘 이용중 입니다
88,백주영,2019년 9월 9일,1,1,앱 제작을 다시하시는게.
89,까미,2019년 9월 8일,4,0,앱 클릭이 잘 안돼요 그리고 안장이 수평이 잘 안맞는게 많아요~ 의자 높이도 좀 더 높았으면 좋겠어요
90,유민준,2019년 9월 8일,1,2,비치되있는 이용안내데로 했다. 1. 앱설치 ok 2. 가입 로그인 ok 3. 상단에 이용하기 클릭. ?? 이용이라는 버튼 어디에도 안보인다..
91,허허잇튜브,2019년 9월 8일,1,15,진짜 짜증나는게 비밀번호 찾기 하려고 인증번호까지 다 작성하고 넘어가면 해당사항이 없다고 하네 오류인 것 같아서 처음부터 다시 해도 안되고 무한 반복인데 어무 짜증나네요 진짜 ㅋㅋㅋ개선좀
92,podori hyung,2019년 9월 8일,1,1,편리한 따릉이 시스템에 비해 형편없는 앱. 렉걸리고 결제 잘 안되고 위치정보 이상한 앱.
93,JUI,2019년 9월 8일,3,0,로그인유지 체크해도 계속 앱사용할때마다 로그인해야하니 번거롭네요 그리고 자전거네비기능이 있으면 좋을거같아요
94,jongjoo Bae,2019년 9월 8일,1,1,실행이 안됨
95,전미경,2019년 9월 8일,1,1,무한로딩 좀 고쳐주세요
96,jin seok seo,2019년 9월 8일,1,2,이거 어플 완전 엉망이에요.나갔다 들어올때마다다시 로그인해야되요 제폰이 s10+인데 여기서도 이러면 말다했죠;;
97,선현,2019년 9월 8일,4,0,자전거문제생길경우단순접수기능넣으면좋을거갇아요
98,김병운,2019년 9월 8일,1,5,서버 관리가 엉망이라 픽하면 앱사용 못하고 픽하면 대여 못하고 일본어나 나오면서 비밀번호를 쳐도 대여못하고 관리가 엉망이라 후회합니다 결론은 돈은 돈대로 날리고 자전거삼
99,Hyoungjin Kim,2019년 9월 8일,1,1,할때마다 로그인할거면 자동로그인은 왜있는건지...
100,Sangmin Yu,2019년 9월 7일,1,3,사업비 얼마나 책정받았는지 모르겠지만 ui 도 수준미달이고 버그많고 안되는거 만음
101,위현우,2019년 9월 5일,1,4,로그인유지가안됨 진짜 최악 +로그인 오류로 사용도못함 진짜 별1개도 아까움
102,애플민트,2019년 9월 2일,1,1,개발자 낙하산인듯
103,kyu hwan Sung,2019년 9월 1일,1,3,너무불편하고 버그도 많음 결제후 인증번호넣고 다음 으로 안넘어갈때가 있는데 첨부터 다시 해야함
104,Satan,2019년 9월 1일,1,1,아니 좀 버그나 고치라고 ㅡㅡ
105,황하남,2019년 9월 1일,1,3,진짜 못 만들었다. 우리나라 공무원 조직의 현실이다. 이걸 만든 개발자는 무슨 생각을 하고 만들었을까??
106,꽃지혜,2019년 8월 30일,3,4,폰바꾸고 따릉이 타려고 보니 버전체크 오류라고뜨는데 확인좀해주세요... 한달 끊어놨는데 오늘은 지하철탈게요... 그동안 너무 사용하면서 좋았어서 별은 세개로... 화이팅
107,그눈을떠,2019년 8월 30일,3,0,앱이 아직은 좀 정신산만하네요 자잘한오류도많고 그래도 잘 이용중입니다
108,field saka,2019년 8월 30일,1,1,한개도 아깝다
109,jae wan choi,2019년 8월 30일,5,0,편함
110,악동그랑,2019년 8월 28일,1,4,오후10시에 업무끝난다고 상담중에 열결끊기는 클라스 누가악의적으로 고장접수하고 연결거치대로 열결해놔서 자전거 4대있는데 한대도 대여못하고 자전거대여떻는데 두명동시에 대여떠서 대여안되고 방금5번에 반납됬는데 3번으로떠서 대여도 못하고 고정거치대연결 되어있는데 일주일동안 방치해두고 1시간기다려도 문제해결못하고 교통카드안되서 지하철버스 못타는데 걸어서 집을 갔습니다 감사합니다
111,uu nu,2019년 8월 28일,5,21,따릉이 좋아요!! 그런데 로그인 유지가 잘됐음 좋겠어요ㅠ 로긴유지 체크해도 앱을 끄면 다시 로그인해야하네요...자동 로그인 기능을 추가해주실 계획은 없나요?? 따릉이 정류소가 더 많아지고 자전거 도로도 더 활성화되고 많아졌으면 좋겠어요~
112,Youngsuk Ko,2019년 8월 28일,1,1,공무원이 앱을 만들면 벌어지는 부정적 사례
113,카르마,2019년 8월 27일,5,2,짱좋아요 사랑해요 ! 다들 로그인따문에 힘들하던데 SNS로그인을 따릉이회원으로 바꾸는 방법을 모르는것 같아요 ..더 상용화되었으면좋겠어요!!
114,김종한,2019년 8월 26일,1,1,진짜 편의성개구리고 한국형헬적화의 표본중하나인듯
115,이상윤,2019년 8월 26일,1,1,처음 한번 타볼라카니까 결제부분에서 자꾸 인터넷 안된다하고 지웠다 다시까니까 까는게 안되고 업그레이드좀해라 캐악툿
116,김준철,2019년 8월 26일,5,0,파이버전 s10 로그인이 풀림
117,김daisy,2019년 8월 26일,5,0,잘 사용하고 있어요~
118,Herman Herb,2019년 8월 25일,1,1,"지도 문제는 고쳐졌네요. 오늘 써보니, 대여 중에는 앱에서 남은 대여시간이 계속 화면에 큼직하게 보이는데 정작 근처에 대여위치를 알아야 반납을 하는데 지도표시가 안되고 검색도 되지 않음. 따라서 지도표시가 안되어 내 위치와 근처 대여소 파악이 안됨. 대여시간만 계속 지나감.ㅠㅠ 버그 아닌가요??"
119,냥냥펀치,2019년 8월 25일,4,0,앱 오류하고 접속시 자동 로그인 안 되는 것좀 고쳐주세요
120,김다현,2019년 8월 24일,1,2,자전거만 있으면 뭐해 자전거 도로가 없는데
121,John hong,2019년 8월 24일,1,1,뭔 놈의 앱이 이리 사용법을 복잡하게 만들었누 IT선진국이라면서 중국보다 한참 뒤떨어짐
122,숮이최고,2019년 8월 24일,1,1,"월정액 끊고보니 자전거가 저희집앞엔 항상배치가0이네요..저밑으로 내려가타다가 당일 환불했더니 3000원 수수료처럼 쌩돈날리고 괜히탔음..그리고 환불 바로돈안들어오고 2주,3주걸린데요 님들 자전거배치안되어있으면 구매하지마세요~~쌩돈날림ㅠ!"
123,이태욱,2019년 8월 23일,1,1,이따위로밖에못만듭니까
124,Catarina Cho,2019년 8월 23일,1,1,앱 ui 너무 구리고 로딩도 느려요. 1일권 샀는데 코드 어디서 확인하는지도 모르겠음. 결제내역 눌러도 안 뜸.
125,Ji-sun Kim,2019년 8월 23일,1,2,소셜로그인은 자동로그인이 안되나요? 너무 불편해요 ㅠ
126,박성근,2019년 8월 22일,1,3,탈때마다 로그인해야되고(네이버자동로그인안됨)결제할때마다 카드정보입력하게 하는 개똥앱 이거 아니면 따릉이 못타니까 씀 반성좀 하셈ㅡㅡ
127,김샤샥,2019년 8월 22일,1,2,어플 결제안됨 QR코드 인식이 드럽게 안되서 기본 3~4분은 자전거 앞에서 QR코드만 오지게 잡고있어야됌
128,Daniel Elder,2019년 8월 22일,1,1,도저히 사용할 수가 없음
129,최민지,2019년 8월 21일,2,1,결제 방식 개선해 주세요~~ 매번 결제할 때마다 새로 카드정보 입력하려니 넘넘 불편해요 ㅠㅠ
130,권범규,2019년 8월 21일,4,1,카카오톡 자동로그인 기능만 가능하게 해주시면 좋을거같아요
131,Sung - yun CHOI,2019년 8월 21일,3,2,뒤로가기로 종료가 안되여... 몇번을 연타해야 그제서야 종료하겠냐구 물어보구... 제대로 수정이 안되는 건지???
132,지우박,2019년 8월 21일,5,3,3달정도 사용해오고 있는데 가성비부터 최고예요. 운동도 하고 교통비도 아끼고 대만족입니다.
133,김은서,2019년 8월 20일,1,2,카톡 연동 로그인이 안돼서 정기권 끊었는데도 대여를 못하네요;
134,김건우,2019년 8월 20일,1,1,그리고 앱에보니까 회원 탈퇴가 없는데 제 기록좀 지워주세요 다시 탈일 없을꺼같네요
135,윤준호,2019년 8월 20일,1,7,아니 시대가 어느시대인데 삼성페이나 카카오결제도 안되고 하다못해 자주쓰는 카드 기능이라도 해놔야지 매번 결제하려고 할 때 마다 빡쳐서 안타는 잠재수익만 확보해도 훨씬 많이 이용할듯. 제발 결제방법 업뎃좀 해주세요
136,Dorothy Kang,2019년 8월 20일,1,7,제발... 어플좀.... 리뉴얼해주세요.... 제발요.... 로그인 할때부터 개빡쳐.. 네이버로 연동된 아이디를 가져오는 버튼이잇으면... 연동이되어야하는거아닌가요?.. 나참... 문제가 한두개가 아닌데 왜 안고치고잇는지 모르겠는... 사용자가 이렇게 많은데
137,신나라,2019년 8월 20일,2,1,로그인할때마다시간이상당히걸림 삭제하고다시까는데도시간이엄청걸리네요
138,유용준,2019년 8월 20일,1,1,안되자느
139,김지혜,2019년 8월 20일,1,1,"지금 8월 20일 화요일 오후 1시 30분입니다. 앱이 켜지지도 않고 다시 지웠다 깔아도 실행이 안되네요. 일일권이든 정기권이든 앱 문제로 인해 사용 못한다면 그 부분에 대한 보상은 어떻게 받을 수 있나요? 로그인도 자동로그인 체크해놔도 매번 새로 로그인하라고 하질않나.. 따릉이 정말 편리하고 좋은데요, 앱 문제로 인해서 사용을 못하니 무용지물이네요. 제발 개선 좀 해주세요."
140,류강열,2019년 8월 20일,1,2,앱이 왜 안열리는겁니까 자꾸 다시 열라고만 뜨고 ㅡㅡ
141,송수연,2019년 8월 19일,1,14,별 주기 아까워요. sns계정으로 회원가입 되어있는데 로그인 오류가떠서 사용을 못해요. 로그인 오류는 계속 뜨고 전화는 안받으시고 페북메세지로 따지려고했더니 연결끊긴다고 뜨고 장난합니까? 그냥 홍보만 하시고 실제로 운영관리는 안하나봐요? 써야하는데 못쓰니까 다시 가입하려고 하니 이미 등록회원이라 못한다하고 그럼 어떻게 써야하나요 대책도 없이 운영하나요!!!
142,이아름,2019년 8월 18일,1,1,결제 안됨 거지같음 이따위로 어플 만들어놓고... 아진짜 화남
143,김범,2019년 8월 17일,1,6,"1점도 아까움 제대로 되는게 하나도 없음. 불편한 결제, 느린 반응속도. 앱 켤때마다 로긴해야 하는 둥 일부러 엿 먹이려고 이렇게 만들었나 수준 싼마이 외주 준 티가 팍팍 남."
144,잉,2019년 8월 16일,1,2,진짜 별한개도 아까운거같아요 결재하는게 너무 복잡해요
145,이미라,2019년 8월 15일,1,2,따르릉 집속할때마다 로그인을 다시 하라고 하네 이 앱 만든 인간들ᆢ 다 짤라버려
146,레종,2019년 8월 14일,1,1,적당히 불편해라
